OBJECTID_1,OBJECTID,PadID,crosc_9m,crosc_15m,crosc_21m,crosc_27m,crosc_33m,crosc_39m,crosc_45m,crosc_51m,crosc_57m,crosc_63m,crosc_69m,crosc_75m,crosc_81m,crosc_87m,crosc_93m,crosc_99m,crosc_105m,crosc_111m,crosc_117m,crosc_123m,crosc_130m,crosc_150m,crosc_170m,crosc_190m,crosc_210m,crosc_230m,crosc_250m,crosc_270m,crosc_290m,crosc_310m,crosc_330m,crosc_350m,crosc_370m,crosc_390m,crosc_410m,crosc_430m,crosc_450m,crosc_470m,crosc_530m,crosc_570m,crosc_610m,crosc_650m,crosc_690m,crosc_730m,crosc_770m,crosc_810m,crosc_850m,crosc_890m,crosc_930m,crosc_970m,crosc_1010m,crosc_1110m,crosc_1290m,crosc_1470m,crosc_1650m,crosc_1830m,crosc_2010m,crosc_2190m,crosc_2370m,crosc_2550m,crosc_2730m,crosc_2910m,crosc_3090m,crosc_3270m,crosc_3450m,crosc_3630m,crosc_3810m,crosc_3990m,crosc_4170m,crosc_4350m,crosc_4530m,crosc_4710m,crosc_4890m,crosc_5070m
1,1,ARM04Tv,-0.001248125,-0.000676428,-0.000929806,-0.001095354,-0.001151551,-0.001116107,-0.001017165,-0.00088168,-0.000728607,-0.000571558,-0.000418063,-0.000271109,-0.000135405,-1.4382E-05,8.87909E-05,0.0001722,0.000235708,0.000280955,0.000310927,0.000327549,0.000407869,0.000287935,0.000165814,8.17749E-05,1.46879E-05,-4.54051E-05,-9.33943E-05,-0.000133377,-0.00017307,-0.000200237,-0.000214902,-0.000216422,-0.000205371,-0.00018648,-0.000164482,-0.000142155,-0.000120959,-0.000101038,-5.04094E-05,-2.5655E-05,-6.6616E-06,5.25776E-06,1.34696E-05,2.08454E-05,2.77511E-05,3.34385E-05,3.76652E-05,4.00009E-05,4.07218E-05,4.02063E-05,3.89133E-05,3.42821E-05,3.49575E-05,3.6948E-05,3.29859E-05,2.46431E-05,1.73151E-05,1.31552E-05,9.64786E-06,6.25737E-06,3.45734E-06,2.01137E-06,1.59968E-06,1.44561E-06,1.30853E-06,1.25393E-06,1.52229E-06,2.2339E-06,2.98384E-06,3.5456E-06,3.59917E-06,3.18479E-06,2.41258E-06,1.42453E-06
2,2,ARM05Tv,0.000385759,0.000256063,8.88852E-05,-0.000152677,-0.000397848,-0.000712106,-0.00098047,-0.00117233,-0.001294933,-0.001375133,-0.001434739,-0.001478448,-0.001512988,-0.001541071,-0.001565759,-0.001586527,-0.001601536,-0.001605542,-0.001595839,-0.00157154,-0.001074944,-0.001029076,-0.000987189,-0.000888052,-0.000798092,-0.000723542,-0.000646218,-0.000559841,-0.000470534,-0.000386374,-0.000313197,-0.000255034,-0.000211671,-0.000181232,-0.000158387,-0.000139246,-0.000121483,-0.000104457,-6.44838E-05,-4.78345E-05,-3.69475E-05,-2.89237E-05,-1.93789E-05,-7.69467E-06,4.11142E-06,1.45063E-05,2.28537E-05,2.85279E-05,3.20286E-05,3.35192E-05,3.31291E-05,2.82695E-05,3.27766E-05,3.46379E-05,3.07237E-05,2.41787E-05,1.73588E-05,1.24991E-05,9.42987E-06,6.39008E-06,3.6995E-06,2.42827E-06,2.14614E-06,1.77908E-06,1.53796E-06,1.77393E-06,2.40274E-06,3.11329E-06,3.73677E-06,4.06367E-06,3.98854E-06,3.53284E-06,2.61292E-06,1.47861E-06
3,3,ARM07Tv,0.000918597,0.000674334,0.00065197,0.0005219,0.000361862,0.000173666,8.08485E-05,8.21391E-05,0.000121117,0.000185894,0.000268793,0.000358469,0.000451743,0.000538844,0.000615632,0.000682585,0.000739374,0.000784733,0.00081948,0.000842835,0.000829128,0.000808633,0.000680375,0.000514052,0.00035302,0.000223365,0.000128866,7.36847E-05,2.89225E-05,-6.52017E-06,-3.00815E-05,-4.27901E-05,-5.21816E-05,-6.189E-05,-7.15155E-05,-8.00072E-05,-8.62151E-05,-8.90765E-05,-8.14058E-05,-7.11138E-05,-5.9264E-05,-4.69911E-05,-3.66976E-05,-2.8313E-05,-2.15355E-05,-1.65696E-05,-1.2636E-05,-8.6158E-06,-4.02906E-06,1.11061E-06,6.4515E-06,1.99882E-05,3.20191E-05,2.85248E-05,2.34955E-05,1.92334E-05,1.46622E-05,1.10004E-05,7.6563E-06,5.58568E-06,3.99733E-06,2.86165E-06,2.16455E-06,1.61034E-06,1.51514E-06,2.07981E-06,2.74826E-06,3.2504E-06,3.38375E-06,3.37046E-06,3.26357E-06,2.86307E-06,2.11278E-06,9.81162E-07
4,4,ARM09Tv,0.001217494,0.000772309,0.00069082,0.000430547,0.000140089,-0.000141974,-0.00038654,-0.000564782,-0.000685046,-0.00076162,-0.000810868,-0.000844658,-0.000865414,-0.000871535,-0.000865198,-0.000852717,-0.000797682,-0.000652092,-0.000543937,-0.000475704,-0.000533035,-0.000228794,-4.70131E-05,8.48423E-05,0.000165034,0.000179316,0.000159752,0.000129045,9.86203E-05,7.53189E-05,5.96664E-05,4.66525E-05,3.60683E-05,2.61634E-05,1.47023E-05,2.62373E-06,-6.83465E-06,-1.29078E-05,-1.80763E-05,-1.84827E-05,-1.83493E-05,-2.05354E-05,-2.45292E-05,-2.77471E-05,-2.85424E-05,-2.737E-05,-2.47156E-05,-2.04762E-05,-1.46982E-05,-8.01457E-06,-1.43096E-06,9.0397E-06,1.69152E-05,1.44491E-05,1.12482E-05,9.91384E-06,9.44105E-06,7.69207E-06,5.57329E-06,4.20924E-06,3.83606E-06,3.09797E-06,1.92592E-06,1.40012E-06,1.6662E-06,2.11446E-06,2.51893E-06,2.60219E-06,2.45455E-06,2.24613E-06,2.08016E-06,1.83762E-06,1.26278E-06,4.44735E-07
5,5,ARM06Tv,0.001453173,0.001493867,0.001719585,0.001919043,0.002097042,0.002190469,0.002182508,0.002049231,0.001855437,0.001660387,0.001469137,0.001282661,0.001112014,0.000956293,0.000812188,0.000679963,0.000562573,0.000459135,0.000366639,0.000283065,-3.30526E-05,-0.000247046,-0.000404975,-0.000487046,-0.000495745,-0.000469703,-0.000425632,-0.000379415,-0.000335386,-0.000294397,-0.000257077,-0.000223446,-0.000188642,-0.000158623,-0.000135257,-0.000118446,-0.000105387,-9.3479E-05,-7.43247E-05,-6.68472E-05,-5.79257E-05,-4.85434E-05,-3.84877E-05,-2.67317E-05,-1.49284E-05,-4.61993E-06,3.16364E-06,8.49578E-06,1.23242E-05,1.54036E-05,1.79377E-05,2.13348E-05,3.22196E-05,3.09926E-05,2.63775E-05,2.12873E-05,1.55295E-05,1.14562E-05,8.1645E-06,5.83496E-06,3.88774E-06,2.68753E-06,2.12026E-06,1.57851E-06,1.39011E-06,1.82287E-06,2.47774E-06,3.06956E-06,3.36441E-06,3.44772E-06,3.34406E-06,2.94448E-06,2.20737E-06,1.13992E-06
6,6,ARM18Tv,-0.002972076,-0.002942835,-0.002286389,-0.001764947,-0.001252593,-0.000795472,-0.000409734,-0.000107276,0.000118104,0.000263478,0.00034486,0.00037333,0.000363035,0.000330963,0.000289999,0.000249275,0.000215356,0.000190854,0.000176507,0.00017086,5.22466E-05,0.000153705,0.00017176,0.000148909,9.20993E-05,2.17177E-05,-4.92058E-05,-0.000109108,-0.00015186,-0.00018403,-0.000208412,-0.000223234,-0.000228598,-0.000225153,-0.000214256,-0.000197174,-0.000176677,-0.000154749,-8.9704E-05,-5.00006E-05,-1.72594E-05,6.16956E-06,2.06855E-05,2.90409E-05,3.30798E-05,3.48029E-05,3.61884E-05,3.74167E-05,3.78304E-05,3.75724E-05,3.76452E-05,3.75113E-05,3.65292E-05,3.89897E-05,3.40396E-05,2.4349E-05,1.68349E-05,1.28594E-05,8.9447E-06,5.62569E-06,3.20067E-06,1.72167E-06,1.02894E-06,1.02093E-06,9.53886E-07,6.58009E-07,6.57111E-07,1.19522E-06,1.93682E-06,2.55146E-06,2.71394E-06,2.453E-06,1.9615E-06,1.24657E-06
7,7,ARM17Tv,-0.000795202,-0.000627956,-0.000784022,-0.000856506,-0.00082835,-0.000742553,-0.000611108,-0.000447061,-0.000272163,-0.000105381,3.42713E-05,0.000136825,0.000209279,0.000259379,0.000289502,0.000300769,0.000295827,0.000277597,0.000247363,0.000208011,0.000199347,3.46705E-05,-0.000102034,-0.000191186,-0.000241526,-0.000276748,-0.00030533,-0.000331511,-0.000346327,-0.000350947,-0.000339937,-0.000317522,-0.000288966,-0.000259404,-0.00023178,-0.000206497,-0.000183787,-0.00016338,-0.000109348,-7.64467E-05,-4.95338E-05,-2.77568E-05,-1.17342E-05,-1.65748E-07,9.85956E-06,1.92363E-05,2.65998E-05,3.16316E-05,3.4253E-05,3.48991E-05,3.42844E-05,2.72739E-05,3.36942E-05,3.71898E-05,3.32217E-05,2.42746E-05,1.67789E-05,1.23701E-05,9.17067E-06,6.02218E-06,3.42394E-06,2.09314E-06,1.62432E-06,1.29826E-06,1.06972E-06,1.0358E-06,1.36289E-06,2.01217E-06,2.67224E-06,3.10749E-06,3.0893E-06,2.74761E-06,2.12188E-06,1.28559E-06
8,8,ARM16Tv,-0.002391777,-0.001271829,-0.001370764,-0.001850757,-0.002057062,-0.00210111,-0.002093582,-0.002080887,-0.002067651,-0.00205083,-0.002038646,-0.00203057,-0.002023034,-0.002010569,-0.001992217,-0.001965475,-0.001930669,-0.001888271,-0.001838956,-0.001782893,-0.001693014,-0.001427788,-0.001221958,-0.001066699,-0.000945985,-0.000833017,-0.00072041,-0.00061343,-0.000516486,-0.000429265,-0.000358368,-0.000301534,-0.00025676,-0.000223324,-0.000197416,-0.000177359,-0.000161601,-0.000146252,-0.000105928,-8.38723E-05,-6.52494E-05,-4.88713E-05,-3.39061E-05,-1.94388E-05,-6.16349E-06,5.22376E-06,1.45451E-05,2.11875E-05,2.52985E-05,2.75691E-05,2.80804E-05,2.59329E-05,3.31071E-05,3.52215E-05,3.1194E-05,2.38675E-05,1.68487E-05,1.22418E-05,9.14414E-06,6.18989E-06,3.6061E-06,2.31044E-06,1.95518E-06,1.54572E-06,1.28257E-06,1.43178E-06,1.96808E-06,2.6455E-06,3.2309E-06,3.55922E-06,3.48667E-06,3.09217E-06,2.31943E-06,1.33897E-06
9,9,ARM15Tv,0.002739412,0.002781753,0.002904135,0.002889364,0.002809125,0.002579287,0.002279577,0.001958774,0.001659298,0.001390998,0.001159242,0.000962073,0.000797777,0.00065529,0.00052465,0.000401777,0.000289277,0.000188789,9.95305E-05,2.05754E-05,-7.61958E-06,-0.000183259,-0.000293305,-0.000352428,-0.000376622,-0.0003775,-0.000365269,-0.000344189,-0.00031949,-0.000289488,-0.000260858,-0.000232311,-0.000202087,-0.000177073,-0.000158122,-0.000143481,-0.000131365,-0.000121984,-0.000105776,-9.45385E-05,-7.87486E-05,-6.18704E-05,-4.66297E-05,-3.26469E-05,-2.04081E-05,-1.01836E-05,-2.02202E-06,3.64844E-06,7.51379E-06,1.08452E-05,1.40506E-05,2.14941E-05,3.20128E-05,3.30243E-05,2.91724E-05,2.24817E-05,1.5895E-05,1.15358E-05,8.40398E-06,5.82471E-06,3.66312E-06,2.41285E-06,1.87619E-06,1.35524E-06,1.10001E-06,1.3026E-06,1.85851E-06,2.46741E-06,2.89336E-06,3.07665E-06,2.98228E-06,2.65438E-06,2.04612E-06,1.16695E-06
10,10,ARM12Tv,-0.001459853,-0.002222717,-0.002780476,-0.00298332,-0.003111514,-0.003168758,-0.003153648,-0.003090328,-0.002970773,-0.002808528,-0.002606438,-0.002373665,-0.00212322,-0.001864428,-0.001605356,-0.001353002,-0.001113483,-0.000893374,-0.000695474,-0.000520528,-0.000111593,0.000152526,0.000232853,0.000293261,0.000296691,0.000263778,0.000227748,0.000191503,0.00015051,0.000104677,5.89728E-05,1.74507E-05,-1.56237E-05,-3.99299E-05,-5.70983E-05,-6.74745E-05,-7.39706E-05,-7.76703E-05,-7.33379E-05,-6.15784E-05,-5.13872E-05,-4.54628E-05,-4.25167E-05,-4.18694E-05,-4.15279E-05,-3.96514E-05,-3.57625E-05,-2.99712E-05,-2.27541E-05,-1.46776E-05,-6.53697E-06,9.76305E-06,2.04367E-05,1.72162E-05,1.44787E-05,1.2386E-05,1.10939E-05,8.62137E-06,5.95845E-06,4.43032E-06,3.87785E-06,3.00821E-06,1.81924E-06,1.25728E-06,1.376E-06,1.81851E-06,2.31884E-06,2.51428E-06,2.44511E-06,2.25591E-06,2.11077E-06,1.90273E-06,1.41382E-06,5.88359E-07
