OBJECTID_1,OBJECTID,PadID,CA_30m,CS_3m,CS_30m,MCA_3m,SWI_3m,SWI_30m,TWI30m,HDCN_strahl3_d,VDCN_10m,BSI,BSI_max,BSI_STD,NDVI,NDVI_max,NDVI_STD,Ec_mean_2002_2017,Ei_mean_2002_2017,Es_mean_2002_2017,ET_water_mean_2002_2017,Gpp_mean_2002_2017
1,1,ARM04Tv,4924.538574,0.067943841,0.068972073,297.0357056,7.257351398,8.822965622,7.120172024,2207.11815,45.76852417,-0.029759841,0.281454235,0.27747637,0.36454156,0.928796172,0.328104377,0.926030731,0.075154238,0.812961397,2.6965E+308,3.69894717
2,2,ARM05Tv,30947.92773,0.083134741,0.056177117,2042.102173,8.987255096,9.339584351,9.362150192,2175.155238,43.54116821,-0.025865553,0.305373192,0.288096398,0.356518447,0.931067646,0.332902402,0.926030731,0.075154238,0.812961397,2.6965E+308,3.69894717
3,3,ARM07Tv,3631.881104,0.059654437,0.046920072,131.1577301,6.566901684,8.56362915,7.15389967,2169.421514,47.88702393,-0.029629724,0.273427457,0.275409043,0.355752677,0.921994686,0.32482934,0.926030731,0.075154238,0.812961397,2.6965E+308,3.69894717
4,4,ARM09Tv,3570.798096,0.081032269,0.048886277,198.9931641,6.683990002,8.704144478,7.520427227,2230.317979,44.34643555,-0.029628711,0.294020563,0.285142034,0.353170127,0.924812019,0.329652727,0.945467325,0.077683303,0.786440814,2.6965E+308,3.773972706
5,5,ARM06Tv,2653.668701,0.086275071,0.057756916,73.67007446,5.628605366,8.669244766,6.86584568,2163.208634,46.17956543,-0.030966718,0.281218946,0.284432858,0.347936809,0.930015564,0.331238419,0.926030731,0.075154238,0.812961397,2.6965E+308,3.69894717
6,6,ARM18Tv,5348.508301,0.079528563,0.064870715,192.2513123,6.667937756,8.996595383,7.229789734,2268.914828,43.2124939,-0.031800888,0.283627778,0.270091176,0.347507715,0.922343314,0.328445792,0.945467325,0.077683303,0.786440814,2.6965E+308,3.773972706
7,7,ARM17Tv,23988.66602,0.080874115,0.059659947,222.597229,6.798004627,9.550438881,7.163202286,2236.766725,42.86831665,-0.035863958,0.288107157,0.275693029,0.356017143,0.927881539,0.330236435,0.945467325,0.077683303,0.786440814,2.6965E+308,3.773972706
8,8,ARM16Tv,28162.85547,0.088465713,0.057806719,3899.443115,9.572883606,9.44425106,8.739765167,2205.496784,42.11026001,-0.066763945,0.228223205,0.236779481,0.420887053,0.903730929,0.30998379,0.945467325,0.077683303,0.786440814,2.6965E+308,3.773972706
9,9,ARM15Tv,3572.092285,0.098183133,0.067596115,72.16330719,5.480305195,9.233827591,6.811687469,2197.398383,43.74758911,-0.031495504,0.272564173,0.273957908,0.346532434,0.922924101,0.329668671,0.945467325,0.077683303,0.786440814,2.6965E+308,3.773972706
10,10,ARM12Tv,11776.2168,0.076288581,0.05154682,1709.92627,8.894193649,8.858100891,8.094116211,2247.546027,42.4708252,-0.028601723,0.280404985,0.26984477,0.378991514,0.917808235,0.313824743,0.945467325,0.077683303,0.786440814,2.6965E+308,3.773972706
