OBJECTID_1,OBJECTID,PadID,nnes_9m,nnes_15m,nnes_21m,nnes_27m,nnes_33m,nnes_39m,nnes_45m,nnes_51m,nnes_57m,nnes_63m,nnes_69m,nnes_75m,nnes_81m,nnes_87m,nnes_93m,nnes_99m,nnes_105m,nnes_111m,nnes_117m,nnes_123m,nnes_130m,nnes_150m,nnes_170m,nnes_190m,nnes_210m,nnes_230m,nnes_250m,nnes_270m,nnes_290m,nnes_310m,nnes_330m,nnes_350m,nnes_370m,nnes_390m,nnes_410m,nnes_430m,nnes_450m,nnes_470m,nnes_530m,nnes_570m,nnes_610m,nnes_650m,nnes_690m,nnes_730m,nnes_770m,nnes_810m,nnes_850m,nnes_890m,nnes_930m,nnes_970m,nnes_1010m,nnes_1110m,nnes_1290m,nnes_1470m,nnes_1650m,nnes_1830m,nnes_2010m,nnes_2190m,nnes_2370m,nnes_2550m,nnes_2730m,nnes_2910m,nnes_3090m,nnes_3270m,nnes_3450m,nnes_3630m,nnes_3810m,nnes_3990m,nnes_4170m,nnes_4350m,nnes_4530m,nnes_4710m,nnes_4890m,nnes_5070m
1,1,ARM04Tv,0.869733632,0.869987369,0.872141004,0.869824469,0.863365471,0.854974389,0.844760239,0.833017886,0.81989646,0.805779874,0.79075557,0.774886072,0.758479714,0.7418558,0.725422323,0.709684968,0.694842637,0.681001723,0.668247104,0.656736672,0.63335228,0.616874397,0.608282387,0.59407115,0.563866794,0.518113852,0.466554075,0.4129318,0.355839849,0.303247422,0.255258411,0.210368276,0.173227057,0.144510731,0.123155557,0.106571712,0.091350488,0.076024212,0.028765913,-0.002890972,-0.034583736,-0.069463685,-0.106384434,-0.144008443,-0.178496122,-0.203492299,-0.217599675,-0.222692475,-0.22107096,-0.216040269,-0.21034053,-0.204732358,-0.234022826,-0.189730451,-0.148131773,-0.145442769,-0.195264757,-0.2529504,-0.278360069,-0.268751442,-0.235659674,-0.162791327,-0.065083399,0.012748762,0.065243989,0.133985862,0.234998569,0.362235337,0.481801212,0.576118827,0.62227571,0.622992873,0.58671689,0.516812861
2,2,ARM05Tv,0.571788847,0.571713746,0.558198392,0.529979765,0.497313648,0.462861955,0.43231377,0.408248693,0.389607847,0.375099838,0.362508208,0.350733727,0.33965528,0.328996748,0.318910837,0.309634179,0.301142871,0.293661386,0.28733173,0.282284111,0.443865597,0.397262841,0.328040153,0.261256218,0.202261031,0.151229292,0.107097499,0.071933471,0.042228688,0.017494652,-0.001647861,-0.016041934,-0.023647401,-0.029464899,-0.031086117,-0.032111757,-0.033623945,-0.038754921,-0.048819829,-0.058755308,-0.070183381,-0.082901031,-0.096523836,-0.109807491,-0.123193413,-0.134853393,-0.142158478,-0.148878232,-0.155441567,-0.160122663,-0.16282849,-0.140170857,-0.097538508,-0.063536167,-0.06082917,-0.103238754,-0.180686742,-0.23659727,-0.271686912,-0.281722307,-0.243366972,-0.157800332,-0.06475579,0.015665041,0.08493422,0.163624719,0.273965746,0.395265371,0.510492325,0.599772334,0.6485039,0.654794335,0.615676284,0.539078176
3,3,ARM07Tv,-0.679786503,-0.665365756,-0.662492812,-0.661258519,-0.655773878,-0.644401968,-0.628378391,-0.61046803,-0.591306686,-0.573957801,-0.559618473,-0.547368288,-0.536931813,-0.528800786,-0.522901356,-0.518890619,-0.51631391,-0.514995754,-0.514922738,-0.516430318,-0.5976457,-0.601047099,-0.60818553,-0.609918773,-0.596096814,-0.569072008,-0.53404218,-0.483620077,-0.429886937,-0.381762147,-0.337272733,-0.300362289,-0.269029081,-0.245968595,-0.230028138,-0.219371602,-0.211854398,-0.205056489,-0.180145979,-0.162498206,-0.143548355,-0.119828701,-0.092397466,-0.063579477,-0.040425878,-0.028774492,-0.025344193,-0.023830455,-0.019864358,-0.011555327,0.001169117,0.051148649,0.127758756,0.156674623,0.119938768,0.016519185,-0.118330486,-0.205443367,-0.252147615,-0.288293213,-0.267108619,-0.179833591,-0.092006706,-0.035744593,0.046851318,0.152419582,0.252750188,0.35156706,0.439085841,0.517810404,0.574467063,0.588533342,0.564930379,0.490415305
4,4,ARM09Tv,-0.952306032,-0.943950236,-0.932167172,-0.915339291,-0.893000901,-0.86452353,-0.830633461,-0.792835772,-0.751764596,-0.707838893,-0.661844075,-0.615010619,-0.568356216,-0.522962511,-0.479732156,-0.440495431,-0.399879783,-0.346478552,-0.300993294,-0.265811175,-0.212445498,-0.157442942,-0.157224208,-0.173453644,-0.190979391,-0.213023245,-0.245963275,-0.287400454,-0.329822004,-0.36677134,-0.391988754,-0.403426737,-0.403255492,-0.396261603,-0.384416789,-0.368517846,-0.349640787,-0.328169435,-0.252660692,-0.200213581,-0.154772654,-0.123323545,-0.105590224,-0.094291978,-0.082714751,-0.065300368,-0.039846271,-0.008773603,0.024220394,0.057634499,0.08987885,0.188923717,0.25619328,0.287432194,0.249958411,0.130995035,-0.005560759,-0.147868857,-0.250120014,-0.27773121,-0.270518363,-0.235032171,-0.168646559,-0.089658014,-0.001843126,0.094164521,0.179543704,0.245073229,0.311208189,0.373479694,0.424242556,0.45888114,0.454687655,0.412460089
5,5,ARM06Tv,-0.945641041,-0.945741594,-0.943594038,-0.940089285,-0.935102463,-0.928625107,-0.920808971,-0.910892189,-0.900138259,-0.89056617,-0.88240391,-0.875708699,-0.870289981,-0.86539036,-0.86002785,-0.853552997,-0.845987618,-0.837335527,-0.827639163,-0.816985667,-0.78160429,-0.724155545,-0.650531888,-0.566476464,-0.482799739,-0.406271726,-0.342298239,-0.293675274,-0.258578718,-0.232280016,-0.211668685,-0.196156964,-0.177358001,-0.162111908,-0.147499114,-0.135961279,-0.126291126,-0.120736159,-0.117201142,-0.119896874,-0.118442938,-0.108999602,-0.093365297,-0.075410388,-0.062494211,-0.055558342,-0.052624136,-0.055661183,-0.064501211,-0.07549502,-0.082039468,-0.024115045,0.062809728,0.097150542,0.06678509,-0.024457075,-0.141844824,-0.212945431,-0.258727014,-0.292812765,-0.26515767,-0.175937086,-0.086224556,-0.028185839,0.049143452,0.140674606,0.244174644,0.352962106,0.451357633,0.534477472,0.587436378,0.598323166,0.574056387,0.503348231
6,6,ARM18Tv,-0.159226179,-0.147401959,-0.125388548,-0.095627502,-0.058269054,-0.015161084,0.032115094,0.083396412,0.138528123,0.196115345,0.253970981,0.309455991,0.360624999,0.406487167,0.446343035,0.47996664,0.50748682,0.529200971,0.545579851,0.557305336,0.547412992,0.553460896,0.554223418,0.552346826,0.549859822,0.543716311,0.539221346,0.532833993,0.523006618,0.507126808,0.484768867,0.458792806,0.431653023,0.404192775,0.376729876,0.35120368,0.327108264,0.303556383,0.227093369,0.161255017,0.082779378,0.005223401,-0.064637065,-0.122766577,-0.164803922,-0.189237908,-0.199238241,-0.200303972,-0.19768475,-0.193421841,-0.193342075,-0.212422907,-0.255247593,-0.213889256,-0.166429579,-0.159598053,-0.182926863,-0.232958034,-0.266941816,-0.257262707,-0.231231481,-0.175061122,-0.081491277,-0.010743085,0.029989665,0.084815674,0.175140932,0.296191007,0.414300203,0.506085038,0.548305154,0.550740123,0.529017687,0.476154983
7,7,ARM17Tv,0.898988605,0.901975274,0.90377754,0.902694345,0.899486899,0.894980907,0.887283564,0.875943184,0.861149073,0.843512833,0.823404491,0.800829589,0.776701093,0.752631128,0.729504704,0.707620084,0.686921537,0.667300105,0.648685873,0.631136775,0.618309855,0.574012876,0.533497036,0.49013415,0.446283072,0.402632713,0.357657135,0.311912775,0.268170834,0.234372586,0.209222063,0.189453289,0.174525663,0.162156612,0.150907114,0.141422123,0.13355726,0.126481503,0.096975662,0.066229858,0.024037343,-0.025375417,-0.072710343,-0.109561272,-0.134043038,-0.150085688,-0.161468908,-0.168882027,-0.172221258,-0.173395887,-0.174570724,-0.195289776,-0.217881009,-0.167716578,-0.134318754,-0.139952496,-0.183274463,-0.239371926,-0.275892198,-0.27028951,-0.240708545,-0.172720775,-0.076647766,-0.002992776,0.041407578,0.102483422,0.199707821,0.32600224,0.445578426,0.539659798,0.582703352,0.584634781,0.557013869,0.496422112
8,8,ARM16Tv,0.141432747,-0.003818177,-0.089039423,-0.090985328,-0.082948789,-0.085010238,-0.093946859,-0.106084779,-0.118644163,-0.129223987,-0.138518676,-0.144869775,-0.146650851,-0.14223446,-0.130965963,-0.113345563,-0.090904362,-0.06599196,-0.041224152,-0.018455325,0.11407087,0.124879502,0.10475897,0.07567808,0.045864135,0.021518627,0.006041402,-0.001514108,-0.005606773,-0.006479607,-0.010312049,-0.012384487,-0.01459395,-0.015173719,-0.014329571,-0.012280545,-0.009757515,-0.005289919,-0.003133681,-0.013239625,-0.032624565,-0.05681235,-0.076600455,-0.088807173,-0.097078882,-0.102975525,-0.111075707,-0.120660186,-0.128798187,-0.136780858,-0.145445123,-0.13977024,-0.089903787,-0.043984197,-0.043720521,-0.093366958,-0.173116222,-0.228659198,-0.273376852,-0.28707251,-0.253178298,-0.169763893,-0.076094344,-0.004533188,0.056117516,0.126861796,0.233887911,0.355479538,0.470803559,0.56145215,0.608183622,0.614319146,0.582998216,0.516381681
9,9,ARM15Tv,-0.828136921,-0.816784739,-0.804065764,-0.789228857,-0.773955703,-0.759953201,-0.749694049,-0.743088126,-0.739055753,-0.736824214,-0.735861659,-0.735743761,-0.736074388,-0.73611939,-0.735180795,-0.733283937,-0.730733752,-0.727528989,-0.723493934,-0.71849072,-0.723340988,-0.689666033,-0.635453105,-0.563900232,-0.485947669,-0.412515044,-0.351165265,-0.303875774,-0.267719239,-0.234868333,-0.2108794,-0.189236969,-0.167729259,-0.149733275,-0.136174098,-0.125648975,-0.116044417,-0.107298039,-0.091064394,-0.087094836,-0.084885754,-0.082451008,-0.076727636,-0.065483086,-0.055656657,-0.051298179,-0.052396525,-0.057952255,-0.067313194,-0.078707896,-0.086584173,-0.092912853,-0.004489558,0.048683856,0.024167243,-0.057302929,-0.150805771,-0.212204367,-0.267730504,-0.295755118,-0.26665321,-0.184697196,-0.094500855,-0.033425216,0.027607422,0.098819986,0.202335984,0.318944275,0.427074164,0.513440013,0.560084343,0.570216179,0.552118242,0.493717551
10,10,ARM12Tv,0.399284422,0.395231426,0.380213141,0.361174852,0.337633401,0.311174452,0.283507526,0.256121606,0.229005948,0.201856837,0.173626691,0.14367412,0.111800246,0.078284338,0.04352187,0.007988519,-0.027514236,-0.062206045,-0.095544912,-0.12720494,-0.160674274,-0.251507103,-0.303321034,-0.300668359,-0.303647488,-0.319369763,-0.33718273,-0.352954537,-0.364860177,-0.374647826,-0.382320911,-0.386968911,-0.386414379,-0.379279077,-0.366443485,-0.349189311,-0.328733325,-0.30535683,-0.228609994,-0.178841665,-0.136112452,-0.100702159,-0.074457966,-0.058280002,-0.049574703,-0.043018088,-0.032873817,-0.017443638,0.002198845,0.023413099,0.046422631,0.092578366,0.174447477,0.231217563,0.181782186,0.054164745,-0.07025259,-0.178650007,-0.255185574,-0.29286769,-0.280779451,-0.223607928,-0.148778498,-0.084385924,-0.015961835,0.074891865,0.163566858,0.250820071,0.335189253,0.403161883,0.453825086,0.482480884,0.484604746,0.440940589
