OBJECTID_1,OBJECTID,PadID,plc_9m,plc_15m,plc_21m,plc_27m,plc_33m,plc_39m,plc_45m,plc_51m,plc_57m,plc_63m,plc_69m,plc_75m,plc_81m,plc_87m,plc_93m,plc_99m,plc_105m,plc_111m,plc_117m,plc_123m,plc_130m,plc_150m,plc_170m,plc_190m,plc_210m,plc_230m,plc_250m,plc_270m,plc_290m,plc_310m,plc_330m,plc_350m,plc_370m,plc_390m,plc_410m,plc_430m,plc_450m,plc_470m,plc_530m,plc_570m,plc_610m,plc_650m,plc_690m,plc_730m,plc_770m,plc_810m,plc_850m,plc_890m,plc_930m,plc_970m,plc_1010m,plc_1110m,plc_1470m,plc_1650m,plc_1830m,plc_2010m,plc_2190m,plc_2370m,plc_2550m,plc_2730m,plc_2910m,plc_3090m,plc_3270m,plc_3450m,plc_3630m,plc_3810m,plc_3990m,plc_4170m,plc_4350m,plc_4530m,plc_4710m,plc_4890m,plc_5070m
1,1,ARM04Tv,0.009087871,0.005058472,0.007153925,0.008705727,0.00947013,0.009466936,0.008889019,0.007924855,0.006728176,0.005419278,0.004066861,0.002703721,0.001383446,0.000150455,-0.000950524,-0.001885058,-0.002636822,-0.003210977,-0.003629153,-0.003902172,-0.005012882,-0.003758881,-0.002299843,-0.001206201,-0.000229801,0.000749128,0.001619981,0.002433134,0.003326797,0.004080442,0.004639852,0.004920314,0.004877754,0.004588996,0.004164254,0.003690973,0.003223823,0.002770938,0.001532721,0.000842008,0.000236345,-0.000200147,-0.000542509,-0.000876928,-0.001207721,-0.001494661,-0.001723098,-0.001872511,-0.001955245,-0.001984613,-0.00197623,-0.00188566,-0.002414794,-0.002353037,-0.002080598,-0.001774615,-0.001548202,-0.001248143,-0.000859336,-0.00052285,-0.000351392,-0.000322502,-0.000331145,-0.000333509,-0.000344225,-0.000445584,-0.000691384,-0.000991528,-0.001278792,-0.001439361,-0.001454438,-0.00127941,-0.000878027
2,2,ARM05Tv,-0.005754093,-0.003852417,-0.001365785,0.002439129,0.006554605,0.011928056,0.01653672,0.019791534,0.021833969,0.023144981,0.024127573,0.024871131,0.025512775,0.026108978,0.026704201,0.027281106,0.027793497,0.028127756,0.028217915,0.028029697,0.017680356,0.017575486,0.017080806,0.015473343,0.014129393,0.013101243,0.01194783,0.010578544,0.009097582,0.007651723,0.006364067,0.005330692,0.004542719,0.003998907,0.003598848,0.003265307,0.00294682,0.002626142,0.001820954,0.001470544,0.001238032,0.001048858,0.000751486,0.000315914,-0.000177894,-0.000657902,-0.001075154,-0.001384035,-0.0016019,-0.001728904,-0.001765901,-0.001731127,-0.002407789,-0.002328082,-0.002152983,-0.001906726,-0.001610787,-0.001331566,-0.000966738,-0.000607908,-0.000452903,-0.000462984,-0.000437408,-0.000421355,-0.000524371,-0.000750898,-0.001020378,-0.001315671,-0.001580786,-0.001741112,-0.001768754,-0.001528232,-0.001021804
3,3,ARM07Tv,-0.014788937,-0.01080249,-0.010438339,-0.008408237,-0.005842972,-0.00275574,-0.001249466,-0.00124956,-0.001824089,-0.00277742,-0.003991535,-0.005293869,-0.006642518,-0.007896036,-0.008997592,-0.00996172,-0.010787045,-0.01145374,-0.011974402,-0.012336296,-0.011658275,-0.011544972,-0.009906671,-0.007687546,-0.005432844,-0.003541875,-0.002108305,-0.001241883,-0.000499684,0.000115494,0.000542279,0.000784861,0.000972083,0.001174813,0.001388298,0.001592985,0.001762769,0.001871351,0.001879186,0.001779388,0.001623829,0.001410981,0.001196882,0.00099218,0.000805836,0.000660094,0.000534888,0.00038593,0.000190104,-5.50018E-05,-0.000334004,-0.001127501,-0.001950424,-0.001816215,-0.001783012,-0.001630626,-0.001407334,-0.001114318,-0.000870807,-0.000669387,-0.000539447,-0.000457013,-0.000377418,-0.00038631,-0.000557037,-0.000768554,-0.000969613,-0.001122299,-0.00126476,-0.001370278,-0.00135176,-0.001146004,-0.000621972
4,4,ARM09Tv,-0.011529949,-0.007453987,-0.006789303,-0.004330323,-0.001449313,0.001516338,0.004269117,0.006442665,0.008061031,0.009221438,0.01006975,0.010723322,0.011199861,0.011467628,0.011548875,0.011524826,0.010903122,0.009067982,0.007695668,0.006820467,0.007914592,0.003484495,0.000733666,-0.001325027,-0.002619434,-0.002881675,-0.002621276,-0.00216802,-0.001691905,-0.001311419,-0.001049784,-0.000828517,-0.000647176,-0.000475855,-0.000272376,-4.96633E-05,0.000132608,0.000257232,0.000393435,0.000428828,0.000453427,0.000539113,0.000684329,0.000825485,0.000906408,0.000925313,0.000884003,0.000770049,0.000577721,0.00032724,6.03584E-05,-0.000392348,-0.000899263,-0.000867334,-0.000928117,-0.001008525,-0.000924829,-0.000740876,-0.000607511,-0.000604715,-0.000535781,-0.000361369,-0.000278361,-0.000345858,-0.000454456,-0.000569721,-0.000647268,-0.000690761,-0.000709566,-0.000730153,-0.000718074,-0.000553842,-0.000215776
5,5,ARM06Tv,-0.013087227,-0.013558384,-0.015814042,-0.017858397,-0.019848509,-0.021180758,-0.021628611,-0.020717124,-0.019037835,-0.017320579,-0.015606196,-0.013893127,-0.012275337,-0.010756801,-0.009316689,-0.007963655,-0.006731654,-0.005617045,-0.004587167,-0.003620763,0.000449461,0.003610905,0.006246002,0.007850315,0.00829099,0.008052846,0.007393582,0.006686286,0.006022401,0.005403114,0.004834275,0.004317731,0.003725446,0.003205404,0.002798114,0.002512714,0.002301726,0.002107878,0.001884743,0.001855972,0.00176386,0.001613715,0.001386271,0.00103321,0.000613953,0.000200661,-0.000143947,-0.000404169,-0.000613718,-0.000801902,-0.000974278,-0.001216133,-0.00211228,-0.002008302,-0.001924459,-0.00168184,-0.001436517,-0.001154372,-0.000882191,-0.000634695,-0.000498782,-0.000444449,-0.000369315,-0.000354584,-0.000491469,-0.000698731,-0.00091897,-0.001110862,-0.001278806,-0.001385446,-0.001375428,-0.001185022,-0.000716133
6,6,ARM18Tv,0.034073699,0.034243051,0.027142223,0.021508962,0.015748216,0.010367288,0.005541117,0.001504422,-0.001714361,-0.003943506,-0.00529229,-0.005837479,-0.005751107,-0.005285898,-0.00465134,-0.004003896,-0.003457878,-0.003059962,-0.002823743,-0.00272594,-0.000811251,-0.00238559,-0.002692058,-0.002379024,-0.001500049,-0.000360423,0.000837043,0.001911556,0.002754275,0.003471821,0.004100383,0.004588527,0.004922647,0.005081152,0.005059214,0.004870954,0.004566523,0.004179602,0.00270696,0.001615272,0.000597676,-0.000227019,-0.000796763,-0.001156749,-0.001349577,-0.001441101,-0.001518236,-0.001597118,-0.00164951,-0.001674247,-0.001711236,-0.001814113,-0.002412007,-0.002339629,-0.001937988,-0.001544276,-0.001337217,-0.001027528,-0.000697442,-0.000448134,-0.000280556,-0.00018944,-0.000208425,-0.000212938,-0.000157787,-0.00016856,-0.00032974,-0.000578085,-0.000818713,-0.00095139,-0.000966238,-0.000882079,-0.000637439
7,7,ARM17Tv,0.01099799,0.008822325,0.011010478,0.012049004,0.01168902,0.010531846,0.008737971,0.006457707,0.00397649,0.001557462,-0.000512075,-0.00206506,-0.003187091,-0.003978165,-0.004464644,-0.004658718,-0.004599724,-0.004332475,-0.003876777,-0.0032758,-0.003091967,-0.000550397,0.001659624,0.003182694,0.004112574,0.004843346,0.005530426,0.006194331,0.006644029,0.006916957,0.00687807,0.006578786,0.0061376,0.005664583,0.005217041,0.004797488,0.00440666,0.004041166,0.003012172,0.002294961,0.001623151,0.000986008,0.000444822,6.56358E-06,-0.000400461,-0.000796936,-0.001128453,-0.001381743,-0.001544069,-0.001623516,-0.001644458,-0.001426027,-0.002413455,-0.002365817,-0.002019189,-0.001647192,-0.001396219,-0.001147787,-0.000802456,-0.000506072,-0.000359765,-0.000317306,-0.000282623,-0.000255347,-0.000263552,-0.000367907,-0.000575609,-0.000831771,-0.001057163,-0.001159122,-0.001166363,-0.001031025,-0.000719705
8,8,ARM16Tv,0.067650966,0.036267988,0.038782172,0.051265884,0.05539123,0.055016477,0.053587001,0.052297469,0.051170755,0.050060429,0.04911489,0.04826076,0.047374755,0.046365399,0.045217589,0.043897808,0.042418506,0.040794887,0.039049346,0.037203718,0.034529429,0.027588187,0.022982439,0.020005437,0.017901521,0.015888926,0.013781098,0.011775617,0.009971994,0.008294399,0.00696992,0.005948409,0.005169316,0.004605926,0.004174489,0.003846733,0.003602263,0.003360697,0.00273432,0.002376759,0.002040534,0.001671533,0.001243482,0.000750301,0.000247904,-0.000218183,-0.000630259,-0.000950414,-0.001174433,-0.001328311,-0.001407203,-0.001468093,-0.002367611,-0.002297109,-0.002067274,-0.001759388,-0.00148647,-0.00122969,-0.000886311,-0.000563782,-0.000415659,-0.000402499,-0.000358101,-0.000327589,-0.00039026,-0.000566445,-0.000802483,-0.00106425,-0.001295699,-0.001412071,-0.001423818,-0.001231663,-0.000830105
9,9,ARM15Tv,-0.024898915,-0.025528423,-0.027001116,-0.027367665,-0.027173128,-0.025505329,-0.023030244,-0.020200249,-0.017464966,-0.014932054,-0.012674855,-0.010710706,-0.009051418,-0.007586768,-0.006203976,-0.004850386,-0.003561331,-0.002370334,-0.001275583,-0.000269323,0.000101114,0.00262306,0.00452906,0.005822132,0.006505308,0.00666678,0.006525443,0.006212393,0.005836252,0.005311727,0.004820553,0.004328639,0.003810016,0.003394936,0.003097896,0.002878023,0.002705915,0.002590092,0.002522488,0.002472823,0.002264835,0.001948845,0.0015923,0.001189254,0.000782703,0.000408891,8.50601E-05,-0.000160864,-0.00034715,-0.0005254,-0.000712498,-0.001139922,-0.002176417,-0.002147738,-0.001942154,-0.00160252,-0.001341146,-0.001096463,-0.000812566,-0.000560034,-0.000426138,-0.000373445,-0.000298315,-0.000262242,-0.000328218,-0.000491594,-0.000694057,-0.000896346,-0.001059817,-0.001136291,-0.001137405,-0.000998966,-0.000658457
10,10,ARM12Tv,0.019428685,0.029878717,0.037878491,0.041273557,0.043540765,0.044784609,0.045014109,0.044591252,0.043393794,0.041608069,0.039207969,0.036261871,0.032926191,0.029305514,0.025519239,0.021697046,0.017972587,0.014485803,0.011312847,0.008487182,0.001891301,-0.002465861,-0.003721354,-0.004647772,-0.004698737,-0.00420206,-0.003684038,-0.003160551,-0.002540218,-0.001804902,-0.00103642,-0.000311899,0.000283519,0.00073595,0.001071695,0.001295014,0.001458278,0.001579072,0.001646804,0.001467457,0.001291341,0.001201714,0.0011859,0.001238967,0.001308487,0.001331059,0.001273198,0.001120485,0.000885767,0.000592025,0.000272635,-0.000433219,-0.001073061,-0.00110738,-0.001133879,-0.001142233,-0.000992512,-0.000769219,-0.000624507,-0.0005995,-0.000514685,-0.000341239,-0.000250579,-0.000286669,-0.000392251,-0.000525451,-0.000624269,-0.000684418,-0.000707412,-0.000733483,-0.000732618,-0.00061169,-0.000284715
