OBJECTID_1,OBJECTID,PadID,prc_9m,prc_15m,prc_21m,prc_27m,prc_33m,prc_39m,prc_45m,prc_51m,prc_57m,prc_63m,prc_69m,prc_75m,prc_81m,prc_87m,prc_93m,prc_99m,prc_105m,prc_111m,prc_117m,prc_123m,prc_130m,prc_150m,prc_170m,prc_190m,prc_210m,prc_230m,prc_250m,prc_270m,prc_290m,prc_310m,prc_330m,prc_350m,prc_370m,prc_390m,prc_410m,prc_430m,prc_450m,prc_470m,prc_530m,prc_570m,prc_610m,prc_650m,prc_690m,prc_730m,prc_770m,prc_810m,prc_850m,prc_890m,prc_930m,prc_970m,prc_1010m,prc_1110m,prc_1290m,prc_1470m,prc_1650m,prc_1830m,prc_2010m,prc_2190m,prc_2370m,prc_2550m,prc_2730m,prc_2910m,prc_3090m,prc_3270m,prc_3450m,prc_3630m,prc_3810m,prc_3990m,prc_4170m,prc_4350m,prc_4530m,prc_4710m,prc_4890m,prc_5070m
1,1,ARM04Tv,-0.00130548,-0.00045429,-0.000597127,-0.000625941,-0.000620396,-0.000602843,-0.000556109,-0.000497524,-0.0004392,-0.00038549,-0.000340651,-0.000300732,-0.000266946,-0.000238794,-0.000216768,-0.000199835,-0.000187749,-0.000180833,-0.000177046,-0.000173692,-0.00017612,-0.000163332,-0.000136638,-0.000103342,-6.56758E-05,-2.4528E-05,1.9334E-05,5.75964E-05,7.96158E-05,9.26493E-05,0.000106355,0.000117853,0.000121922,0.000120402,0.000116015,0.000111382,0.000107822,0.000104879,9.36158E-05,8.12606E-05,6.56895E-05,4.89158E-05,3.44001E-05,2.54206E-05,2.32422E-05,2.59694E-05,3.00142E-05,3.34122E-05,3.59749E-05,3.73419E-05,3.76466E-05,3.8802E-05,3.87291E-05,3.09289E-05,2.36207E-05,1.94082E-05,1.84506E-05,1.85657E-05,1.73094E-05,1.59689E-05,1.45722E-05,1.24409E-05,1.06961E-05,9.80292E-06,9.40516E-06,9.13238E-06,8.61131E-06,7.66978E-06,6.41449E-06,5.16063E-06,4.46689E-06,4.35632E-06,4.68301E-06,5.22347E-06
2,2,ARM05Tv,-0.00038205,-0.00031761,-0.001031089,-0.001471748,-0.00159245,-0.001548985,-0.001466145,-0.001394068,-0.001325412,-0.001263039,-0.001202237,-0.001136768,-0.001069801,-0.001000018,-0.00092788,-0.000854283,-0.000778545,-0.000701014,-0.000622318,-0.000543967,-0.00077153,-0.000454785,-0.000227417,-0.000101799,-4.15889E-05,-2.21554E-05,-1.7416E-05,1.31793E-06,3.07519E-05,5.8251E-05,7.60975E-05,8.40595E-05,9.05901E-05,9.44316E-05,9.8633E-05,0.000102381,0.000106759,0.000110613,0.000113906,0.000106856,9.31491E-05,7.67959E-05,6.36885E-05,5.62931E-05,5.31201E-05,5.26757E-05,5.33419E-05,5.33706E-05,5.24967E-05,5.08851E-05,4.88272E-05,4.99691E-05,4.48424E-05,3.37582E-05,2.63614E-05,2.16805E-05,1.96997E-05,1.91302E-05,1.74661E-05,1.59347E-05,1.50712E-05,1.32153E-05,1.11285E-05,9.95677E-06,9.30399E-06,9.01628E-06,8.50432E-06,7.62015E-06,6.36048E-06,5.01239E-06,4.19409E-06,3.99938E-06,4.37746E-06,5.01741E-06
3,3,ARM07Tv,0.001297247,0.001096998,0.001162917,0.001157682,0.001060842,0.000677442,0.000367952,0.000320712,0.0003629,0.000424175,0.00048975,0.000543441,0.00058376,0.000609096,0.000620419,0.000619528,0.000607437,0.000587102,0.000561604,0.000534306,0.000533615,0.000433193,0.00031704,0.000210202,0.000122392,5.72587E-05,1.54407E-05,-4.11282E-06,-8.23947E-06,-3.21306E-06,1.21887E-05,2.63076E-05,4.11289E-05,5.1753E-05,5.9269E-05,6.5676E-05,7.21357E-05,7.81052E-05,8.79021E-05,8.64003E-05,8.29569E-05,8.02877E-05,7.66875E-05,7.16431E-05,6.69987E-05,6.41647E-05,6.22035E-05,6.029E-05,5.84777E-05,5.68498E-05,5.51088E-05,5.2669E-05,4.62978E-05,3.35267E-05,2.3781E-05,1.76192E-05,1.64514E-05,1.7693E-05,1.71844E-05,1.63431E-05,1.55123E-05,1.34607E-05,1.13217E-05,1.00926E-05,9.50812E-06,9.17979E-06,8.77127E-06,8.03507E-06,6.98163E-06,5.80175E-06,4.91214E-06,4.57181E-06,4.67457E-06,5.20728E-06
4,4,ARM09Tv,0.000626863,0.000552972,0.00048448,0.000311155,0.000143958,1.7588E-05,-5.08515E-05,-5.28703E-05,-2.16963E-05,2.638E-05,7.71153E-05,0.000120305,0.000149478,0.000165646,0.00017145,0.000169995,0.000169251,0.000178517,0.000175834,0.000157278,0.0001358,6.8936E-05,-2.04998E-05,-2.83687E-05,-6.70988E-05,-6.75358E-05,-6.107E-05,-4.98407E-05,-3.4718E-05,-1.95353E-05,-7.68913E-06,1.51744E-06,8.71956E-06,1.47318E-05,2.00401E-05,2.27002E-05,2.30718E-05,2.03238E-05,2.10357E-06,-8.73023E-06,-1.34872E-05,-1.13274E-05,-4.31431E-06,4.00449E-06,1.22178E-05,1.92493E-05,2.41165E-05,2.76465E-05,3.11895E-05,3.48381E-05,3.78386E-05,3.59453E-05,3.30954E-05,2.58274E-05,1.53804E-05,1.00032E-05,1.13336E-05,1.41047E-05,1.67144E-05,1.69174E-05,1.49676E-05,1.31195E-05,1.13396E-05,1.00725E-05,9.6492E-06,9.46386E-06,9.05479E-06,8.38674E-06,7.53448E-06,6.7734E-06,6.06872E-06,5.49407E-06,5.31169E-06,5.51667E-06
5,5,ARM06Tv,0.000755048,0.001525604,0.001756434,0.001765969,0.001773188,0.001749404,0.001646038,0.001376017,0.001051731,0.000824168,0.000658229,0.000535147,0.000426265,0.000326992,0.000234536,0.000152349,7.99159E-05,1.83097E-05,-3.29339E-05,-7.3094E-05,-0.000320877,-0.000275315,-0.00021703,-0.000170966,-0.000131017,-9.24513E-05,-6.32863E-05,-3.48629E-05,-8.52714E-06,1.40315E-05,3.25241E-05,4.74092E-05,6.53731E-05,8.16035E-05,9.60794E-05,0.000103749,0.000107829,0.000109514,0.000111641,0.00010915,0.000103374,9.4155E-05,8.49376E-05,7.87677E-05,7.47143E-05,7.13193E-05,6.78961E-05,6.43774E-05,6.12265E-05,5.85309E-05,5.59511E-05,5.06038E-05,4.55835E-05,3.30538E-05,2.34681E-05,1.76644E-05,1.69227E-05,1.8014E-05,1.72237E-05,1.62409E-05,1.531E-05,1.32915E-05,1.11949E-05,1.00014E-05,9.444E-06,9.2065E-06,8.78911E-06,7.99353E-06,6.85651E-06,5.62667E-06,4.77718E-06,4.49341E-06,4.62975E-06,5.14885E-06
6,6,ARM18Tv,9.37525E-06,-0.000135263,-4.49899E-05,-6.20718E-05,-0.000112263,-0.000253582,-0.000456636,-0.000672712,-0.000862544,-0.001000008,-0.001084221,-0.001122769,-0.001121552,-0.001090068,-0.001039249,-0.000977479,-0.000911885,-0.000847073,-0.000784687,-0.00072548,-0.000588051,-0.000459996,-0.000361617,-0.000294283,-0.000233502,-0.000175845,-0.000130704,-9.60126E-05,-6.80583E-05,-4.30852E-05,-1.77476E-05,8.16584E-06,3.23378E-05,5.33491E-05,6.88787E-05,7.94087E-05,8.46657E-05,8.44701E-05,6.11008E-05,4.2508E-05,2.63698E-05,1.45325E-05,9.05351E-06,7.81134E-06,8.41481E-06,9.8346E-06,1.1585E-05,1.37754E-05,1.67722E-05,2.02906E-05,2.2885E-05,2.62631E-05,2.57123E-05,2.36759E-05,1.74097E-05,1.45968E-05,1.55864E-05,1.66566E-05,1.67209E-05,1.5888E-05,1.35561E-05,1.1489E-05,1.02311E-05,9.62509E-06,9.56151E-06,9.348E-06,8.81163E-06,7.83625E-06,6.64061E-06,5.62681E-06,5.06048E-06,4.9286E-06,5.05871E-06,5.3979E-06
7,7,ARM17Tv,-0.002149385,-0.002401783,-0.002192715,-0.002085967,-0.001967793,-0.001824009,-0.001666781,-0.001513275,-0.001369891,-0.001251104,-0.001157876,-0.001093966,-0.001044394,-0.000995885,-0.000945326,-0.000893821,-0.000843063,-0.000795203,-0.000751514,-0.000712092,-0.000670864,-0.000558667,-0.000452145,-0.000345583,-0.000251203,-0.000181909,-0.000133167,-9.02879E-05,-4.9722E-05,-1.81714E-05,7.86529E-06,2.89954E-05,4.94558E-05,6.71381E-05,7.91245E-05,8.42283E-05,8.42444E-05,8.08721E-05,6.46448E-05,5.25855E-05,4.04671E-05,3.05991E-05,2.44653E-05,2.30384E-05,2.46739E-05,2.74926E-05,3.06369E-05,3.33529E-05,3.44689E-05,3.44492E-05,3.43725E-05,3.75258E-05,3.5883E-05,2.83515E-05,2.00607E-05,1.57053E-05,1.6427E-05,1.76913E-05,1.70875E-05,1.606E-05,1.4381E-05,1.22965E-05,1.06504E-05,9.72082E-06,9.44969E-06,9.32315E-06,8.85878E-06,7.95007E-06,6.68193E-06,5.50901E-06,4.84033E-06,4.67303E-06,4.84111E-06,5.25632E-06
8,8,ARM16Tv,-0.000573132,-0.000885047,-0.00077831,-0.000649873,-0.000547485,-0.000462695,-0.000409593,-0.000372339,-0.000351789,-0.000341928,-0.000334667,-0.000327983,-0.000319676,-0.000306528,-0.000291068,-0.000274297,-0.000255828,-0.00023681,-0.000217774,-0.000198782,-0.000216743,-0.000150714,-0.000109156,-7.51128E-05,-5.41451E-05,-4.68354E-05,-3.90434E-05,-2.8064E-05,-2.04066E-05,-6.65885E-06,1.15343E-05,3.13434E-05,4.79227E-05,5.9829E-05,6.89849E-05,7.5501E-05,7.91684E-05,7.95311E-05,7.43028E-05,6.60511E-05,5.72001E-05,5.08253E-05,4.69864E-05,4.46469E-05,4.45844E-05,4.66925E-05,4.83987E-05,4.84897E-05,4.71784E-05,4.52482E-05,4.33092E-05,4.49975E-05,4.24302E-05,3.16527E-05,2.32322E-05,1.82613E-05,1.77672E-05,1.84298E-05,1.73019E-05,1.60549E-05,1.49115E-05,1.28955E-05,1.09347E-05,9.85815E-06,9.37776E-06,9.21608E-06,8.73979E-06,7.87529E-06,6.61847E-06,5.33927E-06,4.5743E-06,4.3822E-06,4.63267E-06,5.14187E-06
9,9,ARM15Tv,-0.000144927,-0.000299718,-0.000101765,-0.000230024,-0.000292922,-0.000339025,-0.000366815,-0.000390335,-0.000421929,-0.000445234,-0.000454301,-0.000460645,-0.000471212,-0.000482372,-0.00049174,-0.000503408,-0.000512776,-0.000514009,-0.000507525,-0.00049763,-0.000433696,-0.000394056,-0.000349212,-0.000279032,-0.000199519,-0.000137925,-9.83807E-05,-7.4297E-05,-6.01998E-05,-3.95079E-05,-1.72593E-05,9.11038E-06,2.8888E-05,4.34945E-05,5.40388E-05,6.03638E-05,6.3653E-05,6.41477E-05,5.97059E-05,5.82602E-05,5.81877E-05,5.83914E-05,5.87593E-05,5.85151E-05,5.80301E-05,5.76022E-05,5.63804E-05,5.43183E-05,5.19906E-05,4.98368E-05,4.80291E-05,4.30272E-05,3.99256E-05,3.01434E-05,2.02157E-05,1.47151E-05,1.56779E-05,1.7451E-05,1.70794E-05,1.62562E-05,1.47811E-05,1.27595E-05,1.0922E-05,9.80297E-06,9.44853E-06,9.36349E-06,8.94684E-06,8.09844E-06,6.88725E-06,5.73686E-06,4.98882E-06,4.73538E-06,4.80075E-06,5.20539E-06
10,10,ARM12Tv,-0.000754843,-0.001385116,-0.001549616,-0.001530453,-0.001375039,-0.001138282,-0.000891387,-0.000666803,-0.000474084,-0.000306483,-0.000172014,-7.0255E-05,2.27923E-07,4.18641E-05,5.90898E-05,5.65203E-05,3.93205E-05,1.22642E-05,-2.07885E-05,-5.65553E-05,-0.000181631,-9.5934E-05,-0.000128716,-9.09831E-05,-7.68321E-05,-7.74286E-05,-7.40873E-05,-6.53144E-05,-5.50596E-05,-4.59722E-05,-3.85849E-05,-3.45672E-05,-3.3936E-05,-3.69351E-05,-4.22259E-05,-4.79293E-05,-5.34933E-05,-5.76859E-05,-5.84309E-05,-5.05898E-05,-3.91279E-05,-2.77758E-05,-1.76724E-05,-7.89126E-06,1.29002E-06,8.93043E-06,1.46939E-05,1.91289E-05,2.32213E-05,2.72516E-05,3.07017E-05,3.60447E-05,3.33389E-05,2.61961E-05,1.53254E-05,9.92087E-06,1.15765E-05,1.44306E-05,1.6733E-05,1.67885E-05,1.4834E-05,1.296E-05,1.11987E-05,9.94833E-06,9.60435E-06,9.46645E-06,9.07814E-06,8.35071E-06,7.43611E-06,6.65623E-06,5.9392E-06,5.39841E-06,5.19733E-06,5.41265E-06
