OBJECTID_1,OBJECTID,PadID,rel_9m,rel_15m,rel_21m,rel_27m,rel_33m,rel_39m,rel_45m,rel_51m,rel_57m,rel_63m,rel_69m,rel_75m,rel_81m,rel_87m,rel_93m,rel_99m,rel_105m,rel_111m,rel_117m,rel_130m,rel_135m,rel_150m,rel_170m,rel_190m,rel_210m,rel_230m,rel_250m,rel_270m,rel_290m,rel_310m,rel_330m,rel_350m,rel_370m,rel_390m,rel_410m,rel_430m,rel_450m,rel_470m,rel_490m,rel_510m,rel_530m,rel_550m,rel_570m,rel_590m,rel_610m,rel_630m,rel_650m,rel_670m,rel_690m,rel_710m,rel_730m,rel_750m,rel_770m,rel_790m,rel_810m,rel_830m,rel_850m,rel_870m,rel_890m,rel_910m,rel_930m,rel_950m,rel_970m,rel_990m,rel_1010m,rel_1110m,rel_1290m,rel_1470m,rel_1650m,rel_1830m,rel_2010m,rel_2190m,rel_2370m,rel_2550m,rel_2730m,rel_2910m,rel_3090m,rel_3270m,rel_3450m,rel_3630m,rel_3810m,rel_3990m,rel_4170m,rel_4350m,rel_4530m,rel_4710m,rel_4890m,rel_5070m
1,1,ARM04Tv,-0.029968262,-0.139953613,-0.299987793,-0.489990234,-0.609985352,-0.769958496,-0.940002441,-1,-1.139953613,-1.219970703,-1.299987793,-1.33996582,-1.469970703,-1.499938965,-1.519958496,-1.599975586,-1.58001709,-1.559997559,-1.590026855,-1.024047852,-791.4500122,-1.053222656,0.31652832,0.780151367,1.55480957,2.133056641,2.873535156,3.366210938,3.827697754,4.56628418,5.233032227,6.09588623,6.97668457,8.14276123,9.090576172,9.090576172,10.90283203,10.90283203,10.90283203,12.43615723,12.67919922,12.74603271,13.08538818,13.6348877,14.45202637,14.50231934,14.86682129,14.91296387,15.11877441,15.40771484,15.83325195,16.24511719,16.39855957,16.62774658,17.24719238,17.4486084,18.04840088,18.04840088,18.41625977,18.41625977,18.67486572,19.0168457,19.4130249,19.49243164,19.72692871,18.46630859,20.33905029,24.32769775,26.37786865,28.10076904,28.90722656,30.69287109,33.0067749,34.90240479,37.17633057,39.74310303,41.2144165,42.70837402,43.7510376,44.32202148,45.38635254,46.64129639,46.95001221,46.95770264,48.27203369,48.37890625,48.52142334,48.91699219
2,2,ARM05Tv,-0.019958496,-0.269958496,-0.379943848,-0.789978027,-1.359985352,-2.029968262,-2.659973145,-3.260009766,-3.590026855,-4.099975586,-4.429992676,-4.700012207,-4.779968262,-4.91998291,-5.00994873,-5.090026855,-5.200012207,-5.320007324,-5.450012207,-5.444091797,-790.5400391,-5.57232666,-5.907104492,-5.081054688,-3.503723145,-2.304260254,-1.74005127,-1.096679688,-0.659545898,0.213012695,0.954467773,2.017028809,2.950927734,4.117004395,5.064819336,5.064819336,5.736083984,6.877075195,6.877075195,8.410400391,8.653442383,8.720275879,9.059631348,9.357788086,10.42626953,10.4765625,10.84106445,10.84106445,10.92028809,11.25189209,11.6652832,12.21936035,12.37280273,12.60198975,13.22143555,13.42285156,14.02264404,14.02264404,14.39050293,14.39050293,14.64910889,14.99108887,15.19061279,15.4666748,15.70117188,16.703125,18.76977539,22.37249756,25.01800537,26.26690674,27.29754639,29.38928223,31.03863525,32.71893311,35.59564209,38.43951416,39.80529785,41.40478516,42.05786133,42.89361572,44.08276367,44.86920166,45.64642334,45.65411377,46.50341797,47.06842041,47.06842041,47.61340332
3,3,ARM07Tv,0.099975586,0.33996582,0.429931641,0.229980469,0.659973145,1.059936523,1.489990234,1.91003418,2.150024414,2.579956055,2.83996582,3.150024414,3.359985352,3.709960938,3.079956055,3.16998291,3.479980469,3.559936523,3.520019531,2.789306641,-793.6699829,3.014526367,3.499511719,5.001831055,5.589355469,6.350158691,7.433288574,8.037780762,9.029418945,9.807739258,10.87030029,11.80419922,12.97027588,13.91809082,13.91809082,15.73034668,15.73034668,15.73034668,17.26367188,17.50671387,17.91290283,17.91290283,18.46240234,19.27954102,19.41894531,19.69433594,19.74603271,20.10516357,20.6607666,21.07263184,21.42370605,21.75805664,22.07470703,22.52703857,22.87591553,23.171875,23.24377441,23.46582031,23.50238037,23.84436035,24.24053955,24.46289063,24.55444336,24.81994629,25.13122559,26.96826172,28.91821289,31.8059082,34.45141602,34.65557861,36.73095703,38.82269287,40.13110352,42.15234375,45.02905273,47.8729248,49.34423828,50.8381958,51.49127197,52.32702637,53.51617432,54.7265625,55.07983398,55.08752441,55.93682861,56.50183105,56.50183105,57.04681396
4,4,ARM09Tv,0.010009766,0.16003418,0.040039063,0.040039063,0.16003418,0.260009766,0.270019531,0.270019531,0.340026855,0.180053711,0.010009766,-0.189941406,-0.179992676,0.280029297,0.119995117,-0.16998291,0.869995117,1.450012207,1.309997559,0.10369873,-788.3399658,-0.101379395,0.509033203,0.560180664,1.157165527,1.755737305,2.433227539,3.269226074,4.210693359,5.817260742,6.528381348,6.970703125,8.09777832,8.09777832,9.391967773,9.631103516,9.904968262,10.28033447,10.57849121,11.64697266,11.69726563,12.06176758,12.10791016,12.3137207,12.60266113,13.44006348,13.7911377,14.12548828,14.44213867,14.89447021,15.24334717,15.53930664,15.61120605,15.83325195,15.86981201,16.25708008,16.60797119,16.83032227,16.99243164,17.21520996,17.49865723,17.66461182,17.80981445,18.27966309,18.55786133,21.85162354,24.25567627,25.68225098,28.32775879,29.57666016,31.56036377,33.72875977,35.14453125,36.90856934,39.74041748,43.11505127,44.41687012,44.84802246,45.75720215,46.32818604,47.39251709,48.95617676,48.96179199,49.20214844,50.15679932,50.37817383,50.37817383,50.92315674
5,5,ARM06Tv,0.179992676,0.299987793,0.599975586,1.00994873,1.139953613,0.889953613,1.389953613,1.469970703,1.489929199,1.479980469,1.450012207,1.450012207,1.429992676,1.399963379,1.590026855,1.75994873,0.739990234,0.929992676,1.100036621,-0.691101074,-792.0200195,-0.770324707,-0.53338623,-0.140808105,1.484741211,2.451965332,3.179260254,3.91973877,4.803955078,5.826721191,6.44317627,7.329467773,8.210266113,9.376342773,10.32415771,10.32415771,12.13641357,12.13641357,12.13641357,13.66973877,13.91278076,13.97961426,14.31896973,14.86846924,15.68560791,15.82501221,16.10040283,16.15209961,16.51123047,16.64129639,17.29486084,17.63214111,17.86132813,18.48077393,18.68218994,19.28198242,19.28198242,19.57794189,19.64984131,19.90844727,20.25042725,20.44995117,20.72601318,20.96051025,21.09185791,24.49523926,26.44519043,29.33288574,31.97839355,33.22729492,34.25793457,36.34967041,37.99902344,40.21429443,42.69110107,45.39990234,46.87121582,48.36517334,49.01824951,49.9788208,51.04315186,52.2479248,52.60681152,52.61450195,53.46380615,54.02880859,54.02880859,54.5737915
6,6,ARM18Tv,-0.049987793,-0.130004883,-0.25994873,-0.520019531,-0.809997559,-1.220031738,-1.489990234,-1.789978027,-2.08001709,-2.33001709,-2.639953613,-2.840026855,-3.08001709,-3.289978027,-3.5,-3.049987793,-3.059997559,-3.090026855,-2.630004883,-3.08605957,-786.9599609,-2.362365723,-2.113098145,-1.839904785,-1.739501953,-1.398071289,-1.633422852,-1.532348633,-1.252929688,0.217407227,0.069702148,2.143920898,2.143920898,2.815185547,3.956176758,3.956176758,5.250366211,5.489501953,5.763366699,6.13873291,6.436889648,6.688232422,7.505371094,7.644775391,7.920166016,7.971862793,8.330993652,8.46105957,8.933837891,9.298461914,9.649536133,9.848022461,10.30053711,10.75286865,11.10174561,11.10174561,11.46960449,11.69165039,11.72821045,12.13824463,12.54577637,12.6887207,12.85083008,13.10375977,13.38781738,15.1237793,18.94250488,22.54943848,22.75360107,24.80145264,25.90551758,27.45654297,29.62683105,31.13024902,35.4286499,37.33673096,38.6385498,39.06970215,40.42504883,40.54986572,41.96282959,43.17785645,43.18347168,44.03485107,44.60675049,44.60675049,45.09014893,45.35437012
7,7,ARM17Tv,-0.159973145,-0.409973145,-0.799987793,-1.309997559,-1.679992676,-2.019958496,-2.5,-2.840026855,-3.119995117,-3.460021973,-3.720031738,-3.950012207,-4.159973145,-4.320007324,-4.460021973,-4.549987793,-4.690002441,-4.720031738,-4.889953613,-4.976074219,-787.5999756,-3.840026855,-3.08404541,-2.937805176,-2.715515137,-2.592834473,-2.190368652,-1.507263184,-1.280700684,-0.218139648,0.715759277,1.881835938,2.829650879,2.829650879,3.500915527,4.641906738,4.641906738,6.175231934,6.418273926,6.485107422,6.824462891,7.122619629,8.191101074,8.241394043,8.330505371,8.605895996,8.685119629,9.016723633,9.430114746,9.984191895,10.13763428,10.36682129,10.6696167,11.18768311,11.43859863,11.78747559,12.08343506,12.15533447,12.41394043,12.75592041,12.95544434,13.23150635,13.46600342,13.59735107,13.92883301,16.42687988,18.37683105,21.9161377,24.11419678,25.76879883,27.26611328,28.62988281,30.98742676,32.49084473,35.32269287,38.69732666,39.99914551,40.29681396,41.33947754,41.91046143,42.97479248,44.53845215,44.54406738,44.78442383,45.96734619,45.96734619,46.10986328,46.50543213
8,8,ARM16Tv,-0.08001709,-0.150024414,-0.210021973,-0.49005127,-0.760070801,-1.279968262,-1.730041504,-2.24005127,-2.730041504,-3.039978027,-3.41003418,-3.779968262,-4.270019531,-4.75,-5.119995117,-5.400024414,-5.620056152,-5.770019531,-5.909973145,-6.539855957,-786.3300171,-6.770690918,-5.755310059,-5.194091797,-5.094726563,-4.521240234,-3.827148438,-3.553039551,-2.787597656,-2.088867188,-1.149658203,-0.364379883,1.709838867,1.709838867,2.381103516,3.522094727,3.522094727,4.81628418,5.055419922,5.329284668,5.704650879,5.704650879,6.254150391,7.071289063,7.210693359,7.486083984,7.537780762,7.896911621,8.026977539,8.499755859,8.94152832,9.215454102,9.549804688,9.866455078,10.31878662,10.66766357,10.96362305,11.03552246,11.25756836,11.29412842,11.82067871,12.11169434,12.25463867,12.42114258,12.78259277,14.98138428,16.85412598,20.19116211,22.83666992,24.40454102,25.11621094,27.20794678,29.2902832,31.0725708,33.69140625,36.25817871,37.72949219,39.22344971,40.26611328,40.83709717,41.90142822,43.10998535,43.46508789,43.47277832,44.66571045,44.88708496,45.03613281,45.43206787
9,9,ARM15Tv,-0.070007324,-0.070007324,-0.039978027,-0.119995117,-0.299987793,-0.489929199,-0.539978027,-0.489990234,-0.440002441,-0.41998291,-0.869934082,-0.690002441,-0.730041504,-0.859985352,-0.969970703,-1.059997559,-1.219970703,-1.299987793,-1.440002441,-1.452819824,-788.9100342,-2.131225586,-1.656311035,-0.116088867,0.515930176,0.784606934,1.469055176,2.43548584,3.134765625,3.778381348,5.232727051,5.272399902,7.346618652,7.346618652,8.017883301,9.158874512,9.158874512,10.45306396,10.69219971,10.96606445,11.34143066,11.6395874,12.70806885,12.75836182,13.12286377,13.16900635,13.37481689,13.53369141,14.08929443,14.50115967,14.85223389,15.18658447,15.50323486,15.95556641,16.30444336,16.30444336,16.67230225,16.67230225,16.9309082,17.27288818,17.66906738,17.76898193,17.98297119,18.24847412,18.55975342,16.69342041,18.58587646,21.47357178,24.11907959,25.68695068,26.70471191,28.83892822,30.79541016,32.69989014,34.97381592,38.90637207,39.01190186,40.50585938,41.54852295,42.11950684,43.18383789,44.49572754,44.75311279,44.75518799,46.06951904,46.16949463,46.31854248,46.71447754
10,10,ARM12Tv,-0.070007324,-0.33996582,-0.489990234,-0.820007324,-1.070007324,-1.41998291,-1.670043945,-1.929992676,-2.16003418,-2.459960938,-2.66003418,-2.109985352,-2.25,-2.010009766,-1.209960938,-1.16003418,-1.229980469,-0.939941406,-0.979980469,-0.838439941,-786.8599854,-0.98638916,-1.122314453,-0.918945313,-0.918273926,-0.579040527,0.036315918,1.00994873,3.08416748,3.08416748,3.456604004,4.518371582,4.354797363,5.648986816,5.888122559,6.161987305,6.537353516,6.835510254,7.903991699,7.954284668,8.318786621,8.364929199,8.570739746,8.859680176,9.69708252,10.04815674,10.24664307,10.69915771,10.90057373,11.50036621,11.50036621,11.8682251,11.8682251,12.12683105,12.46881104,12.66833496,12.94439697,13.17889404,13.44439697,13.75567627,13.92163086,14.0668335,14.53668213,14.81488037,14.83850098,17.03631592,19.44036865,20.86694336,23.51245117,25.08032227,26.74505615,28.5065918,30.32922363,32.09326172,34.92510986,38.29974365,39.6015625,40.03271484,41.38806152,41.51287842,42.92584229,44.14086914,44.14648438,44.38684082,45.46289063,45.56286621,45.71191406,46.10784912
