OBJECTID_1,OBJECTID,PadID,slp_9m,slp_15m,slp_21m,slp_27m,slp_33m,slp_39m,slp_45m,slp_51m,slp_57m,slp_63m,slp_69m,slp_75m,slp_81m,slp_87m,slp_93m,slp_99m,slp_105m,slp_111m,slp_117m,slp_123m,slp_130m,slp_150m,slp_170m,slp_190m,slp_210m,slp_230m,slp_250m,slp_270m,slp_290m,slp_310m,slp_330m,slp_350m,slp_370m,slp_390m,slp_410m,slp_430m,slp_450m,slp_470m,slp_530m,slp_570m,slp_610m,slp_650m,slp_690m,slp_730m,slp_770m,slp_810m,slp_850m,slp_890m,slp_930m,slp_970m,slp_1010m,slp_1110m,slp_1290m,slp_1470m,slp_1650m,slp_1830m,slp_2010m,slp_2190m,slp_2370m,slp_2550m,slp_2730m,slp_2910m,slp_3090m,slp_3270m,slp_3450m,slp_3630m,slp_3810m,slp_3990m,slp_4170m,slp_4350m,slp_4530m,slp_4710m,slp_4890m,slp_5070m
1,1,ARM04Tv,7.820059776,7.616509914,7.405301571,7.171270847,6.933024883,6.723861694,6.527925014,6.348340034,6.180588245,6.020586014,5.869238377,5.726049423,5.590015888,5.460315704,5.336659908,5.219491959,5.108142376,5.000545502,4.896848202,4.798173904,4.651582241,4.380373955,4.123776436,3.878458977,3.657129765,3.468487263,3.299532413,3.137628317,2.978019714,2.809384346,2.651848316,2.518557549,2.410938501,2.327010155,2.261918545,2.205610752,2.148746014,2.088284969,1.883710623,1.7451967,1.614508629,1.504782677,1.422265291,1.36171639,1.316313386,1.281605959,1.252230287,1.223775983,1.193123937,1.160598516,1.128045797,1.041547179,0.935278594,0.876596391,0.803145707,0.678592086,0.559023142,0.486835659,0.442874372,0.417199224,0.378862262,0.327958465,0.284196764,0.250121534,0.22479938,0.208714306,0.195743948,0.18512547,0.17242147,0.15885897,0.143269807,0.125460818,0.108042277,0.092957571
2,2,ARM05Tv,3.835411787,3.802757263,3.723554134,3.581750154,3.473446608,3.416507959,3.39312005,3.389891624,3.394133568,3.400167942,3.403070211,3.401906252,3.39384675,3.377938271,3.355606794,3.328275681,3.297889948,3.266916752,3.236863375,3.209040403,3.479230642,3.350944519,3.307742119,3.284738779,3.232887506,3.161061764,3.09591794,3.029400587,2.960741043,2.890700102,2.817440271,2.739091158,2.667798996,2.594894409,2.519990206,2.44184804,2.360691786,2.277785301,2.028116465,1.863083124,1.709411263,1.57960856,1.477181077,1.395269156,1.32396245,1.263131976,1.217708826,1.180820584,1.145426035,1.110684395,1.074768305,0.935561776,0.858807504,0.824187696,0.756088674,0.643422425,0.521605611,0.444584638,0.405749768,0.378715843,0.348676473,0.307192594,0.26559034,0.233039066,0.209130123,0.193828881,0.183335513,0.174815461,0.16273123,0.147287875,0.131252959,0.11444021,0.097962461,0.082910404
3,3,ARM07Tv,3.554290295,3.571992397,3.574005127,3.551799297,3.543870449,3.605991364,3.702244759,3.760895252,3.798770428,3.829130411,3.852524281,3.873809814,3.890565395,3.903946161,3.914181709,3.9198246,3.921081066,3.919394016,3.91499114,3.908461809,4.06798315,4.006570339,3.928818464,3.825564861,3.717788458,3.608528614,3.497732639,3.395554543,3.312675953,3.23118639,3.175082684,3.120635986,3.072701931,3.015595675,2.948874235,2.875248432,2.800041199,2.725228548,2.480487585,2.288626194,2.090163708,1.907467127,1.75619626,1.634555817,1.530829668,1.437932134,1.35327816,1.278902888,1.21414268,1.156773806,1.106567144,1.015623927,0.925118327,0.837885559,0.741168141,0.618026614,0.515175343,0.447841793,0.393663943,0.3675116,0.342145383,0.303939104,0.271367937,0.244464844,0.22471717,0.213924393,0.204881951,0.192069724,0.172747225,0.152687311,0.136460155,0.121354073,0.10563077,0.090384088
4,4,ARM09Tv,6.027754784,5.915319443,5.809922695,5.678034782,5.520984173,5.348965645,5.173649311,5.009897709,4.857461929,4.721477985,4.603816032,4.503793716,4.418467045,4.346102238,4.284377575,4.231578827,4.184353352,4.113141537,4.042995453,3.989718914,3.852963448,3.756680965,3.66648221,3.663685322,3.605082035,3.560706615,3.487538338,3.406342268,3.335968494,3.287064314,3.253010988,3.222831488,3.189894676,3.147066355,3.089707375,3.024152756,2.950431347,2.872675657,2.630598783,2.467945337,2.317387581,2.181410074,2.052841425,1.925165653,1.803623796,1.694271922,1.601496816,1.52317965,1.457384467,1.402972579,1.358094692,1.319863439,1.114206672,0.920533538,0.743011713,0.611991584,0.536344528,0.476534396,0.431002766,0.39697665,0.363455504,0.331290275,0.305356055,0.288187653,0.276025057,0.26657936,0.253322482,0.23034279,0.203593895,0.181368798,0.163231358,0.14662458,0.130636588,0.118091755
5,5,ARM06Tv,6.336028099,6.287508011,6.205837727,6.133404732,6.031061649,5.904417992,5.76211977,5.649028301,5.566496849,5.475762844,5.377865314,5.274791241,5.176254272,5.080310822,4.982198238,4.880263329,4.777184486,4.672943115,4.569766998,4.470188141,4.205859184,3.913883686,3.709722996,3.550172567,3.421827555,3.338140965,3.294751406,3.247777224,3.187498808,3.118769169,3.044006824,2.96246314,2.898757935,2.833031654,2.767442942,2.698842287,2.621514082,2.539256334,2.258283377,2.06275034,1.88093555,1.723037362,1.590319753,1.482054949,1.392882824,1.318923116,1.259034753,1.204199672,1.150410175,1.100451231,1.054769993,1.00504458,0.915906549,0.840615749,0.752491474,0.633748651,0.529034853,0.456922323,0.40522784,0.378957897,0.350953102,0.308717251,0.273329347,0.244890615,0.224620491,0.212510675,0.20317322,0.191379875,0.173528463,0.154471844,0.138295084,0.12265721,0.106726013,0.091201454
6,6,ARM18Tv,4.985003948,4.911909103,4.815076351,4.690972328,4.547661304,4.387653828,4.229000092,4.078690052,3.940927505,3.822422981,3.728278875,3.659310341,3.611963987,3.582756042,3.567628145,3.562527418,3.563766479,3.568998814,3.576806068,3.586563587,3.684906244,3.686507463,3.650674105,3.581602335,3.513409853,3.448249102,3.364280224,3.266790867,3.155861139,3.034223795,2.909700871,2.785275221,2.658798218,2.537200212,2.425005674,2.318040848,2.21564579,2.120394707,1.897988081,1.773020864,1.654103398,1.556711435,1.487176895,1.438144922,1.404109001,1.383437753,1.36543417,1.342058301,1.313809276,1.285578847,1.260237932,1.184563518,1.035164595,0.926095903,0.833545506,0.719829977,0.624582469,0.550970197,0.498751253,0.462147623,0.409211397,0.351598591,0.311197877,0.28065151,0.256663144,0.238935858,0.223359883,0.207681507,0.191963941,0.178557307,0.163442045,0.145457193,0.127409905,0.112046614
7,7,ARM17Tv,4.135532379,4.071335793,4.072980881,4.066043854,4.053525925,4.032995224,4.000584126,3.960216284,3.915391922,3.870853424,3.828888416,3.790727615,3.756907463,3.73043561,3.710048199,3.693914652,3.679852247,3.666133404,3.650882959,3.63336587,3.688899755,3.604404688,3.518126726,3.437661886,3.361040592,3.270321131,3.160041809,3.063462973,2.983901739,2.904536009,2.829448938,2.763212919,2.695563555,2.621973753,2.543834925,2.464650393,2.388231039,2.315150738,2.079039812,1.907854557,1.747957349,1.612492561,1.511089683,1.446564674,1.410367846,1.382730007,1.350319505,1.311415315,1.270819664,1.23143959,1.194353342,1.095692635,0.960115194,0.882820964,0.804516315,0.688774824,0.583617151,0.507612526,0.457776159,0.429978848,0.38764143,0.333347052,0.293299645,0.263193667,0.240026742,0.225181103,0.212248132,0.200289562,0.184073776,0.168418348,0.152704656,0.134971827,0.117916107,0.102345817
8,8,ARM16Tv,2.024829626,2.00839901,2.024288893,2.067545414,2.126813889,2.187094688,2.237341881,2.27856493,2.313884974,2.345929623,2.376851559,2.409296751,2.445203781,2.482993126,2.522731543,2.563642025,2.606005669,2.650155067,2.69624567,2.743654728,2.807024002,2.962619781,3.043504477,3.052146196,3.024915218,3.001126766,2.992426157,2.98202467,2.964911222,2.962618589,2.943348169,2.901927948,2.843542337,2.775880575,2.707564116,2.639834642,2.568619251,2.491838932,2.218533278,2.021043539,1.831500649,1.674704432,1.561900854,1.484085441,1.424214959,1.371517539,1.322039127,1.277076602,1.234018803,1.18900311,1.143170714,1.011987805,0.908151329,0.852292478,0.778010309,0.661473453,0.548673272,0.471849352,0.426051587,0.400140136,0.366474479,0.318474591,0.278318256,0.247312486,0.224321932,0.21020554,0.199069634,0.188883245,0.173940599,0.157388002,0.141473591,0.124431796,0.10789758,0.092418544
9,9,ARM15Tv,6.278505802,6.218806744,6.13891077,6.026722908,5.902201176,5.774539948,5.652830601,5.53853178,5.427223682,5.322039604,5.225734234,5.132732868,5.03693676,4.936539173,4.833813667,4.735234261,4.643780708,4.553789139,4.461602211,4.3687253,4.309476376,3.996444225,3.705343962,3.464029312,3.313412666,3.240860701,3.203855753,3.1711483,3.133378029,3.11952281,3.09747076,3.072021484,3.036180735,2.985726118,2.921938896,2.854054451,2.779382229,2.696433306,2.401193142,2.189409494,1.991379976,1.818371058,1.677397847,1.572464824,1.493582249,1.426675558,1.361757278,1.299261928,1.239927053,1.182513714,1.129736185,1.080225945,0.956511915,0.869322062,0.778191149,0.663207114,0.56828475,0.492814124,0.439142078,0.410705954,0.374759734,0.324413508,0.287852049,0.260292828,0.24033235,0.22738938,0.216610521,0.203688458,0.184947342,0.166329414,0.150376827,0.133711636,0.117355421,0.101542436
10,10,ARM12Tv,4.297075748,4.254472256,4.198276043,4.134242535,4.087527752,4.047246933,4.00754261,3.964457035,3.916403294,3.861584663,3.803269863,3.74518013,3.689566135,3.640272379,3.599601984,3.568277121,3.545199633,3.529097795,3.517914534,3.509616613,3.376736879,3.539531231,3.58044672,3.610413313,3.613018751,3.591936827,3.537532568,3.467411757,3.390851021,3.319197655,3.25664854,3.202352047,3.154171705,3.10561204,3.04974699,2.982601404,2.903815746,2.8159554,2.549895287,2.402873039,2.278808832,2.166560173,2.053281069,1.935507059,1.817806244,1.706301332,1.608941317,1.53220582,1.471523881,1.420194983,1.373515129,1.291003346,1.103675365,0.91917491,0.749085128,0.625847697,0.556468248,0.497682661,0.443810344,0.406455934,0.370610684,0.334876716,0.305457562,0.287480026,0.275014639,0.265626013,0.252847284,0.230761021,0.204690501,0.182713315,0.164881662,0.148806572,0.132429853,0.118400671
