OBJECTID_1,OBJECTID,PadID,tpi_9m,tpi_15m,tpi_21m,tpi_27m,tpi_33m,tpi_39m,tpi_45m,tpi_51m,tpi_57m,tpi_63m,tpi_69m,tpi_75m,tpi_81m,tpi_87m,tpi_93m,tpi_99m,tpi_105m,tpi_111m,tpi_117m,tpi_123m,tpi_130m,tpi_150m,tpi_170m,tpi_190m,tpi_210m,tpi_230m,tpi_250m,tpi_270m,tpi_290m,tpi_310m,tpi_330m,tpi_350m,tpi_370m,tpi_390m,tpi_410m,tpi_430m,tpi_450m,tpi_470m,tpi_490m,tpi_510m,tpi_530m,tpi_550m,tpi_570m,tpi_590m,tpi_610m,tpi_630m,tpi_650m,tpi_670m,tpi_690m,tpi_710m,tpi_730m,tpi_750m,tpi_770m,tpi_790m,tpi_810m,tpi_830m,tpi_850m,tpi_870m,tpi_890m,tpi_910m,tpi_930m,tpi_950m,tpi_970m,tpi_990m,tpi_1010m,tpi_1110m,tpi_1290m,tpi_1470m,tpi_1650m,tpi_1830m,tpi_2010m,tpi_2190m,tpi_2370m,tpi_2550m,tpi_2730m,tpi_2910m,tpi_3090m,tpi_3270m,tpi_3450m,tpi_3630m,tpi_3810m,tpi_3990m,tpi_4170m,tpi_4350m,tpi_4530m,tpi_4710m,tpi_4890m,tpi_5070m
1,1,ARM04Tv,-0.018615723,-0.050476074,-0.097167969,-0.161865234,-0.220916748,-0.273071289,-0.312103271,-0.337738037,-0.351196289,-0.355499268,-0.355743408,-0.357788086,-0.364685059,0,-0.401397705,-0.437347412,-0.480895996,-0.531555176,-0.587738037,-0.647247314,-0.395294189,-0.541992188,-0.70123291,-0.820007324,-0.903594971,-0.952453613,-0.956451416,-0.93270874,-0.879821777,-0.785888672,-0.654083252,-0.497039795,-0.36050415,-0.244354248,-0.146026611,-0.041442871,0.086883545,0.230285645,0.392913818,0.556091309,0.711975098,0.887176514,1.077178955,1.272460938,1.462310791,1.635162354,1.802093506,1.970977783,2.16317749,2.370788574,2.602355957,2.83416748,3.054779053,3.269805908,3.477752686,3.674957275,3.866699219,4.042907715,4.209197998,4.382446289,4.548095703,4.716918945,4.877532959,5.030517578,5.180450439,4.493469238,5.419555664,6.362762451,6.933837891,7.528869629,8.224609375,9.222229004,10.27410889,11.31530762,12.22558594,12.97189331,13.40127563,13.84567261,14.41238403,15.01177979,15.63409424,16.26660156,16.90151978,17.43353271,17.87799072,18.26278687,18.63214111,18.9624939
2,2,ARM05Tv,-0.000335693,-0.027893066,-0.085510254,-0.18347168,-0.301971436,-0.447662354,-0.617523193,-0.794616699,-0.997344971,-1.202331543,-1.419403076,-1.632415771,-1.830230713,0,-2.220458984,-2.403869629,-2.575897217,-2.728302002,-2.876647949,-3.014160156,-2.884185791,-3.293670654,-3.598327637,-3.794677734,-3.856811523,-3.867706299,-3.847442627,-3.775848389,-3.6590271,-3.49899292,-3.338012695,-3.218719482,-3.138183594,-3.059265137,-2.964935303,-2.839904785,-2.683380127,-2.513336182,-2.314025879,-2.089569092,-1.880187988,-1.666412354,-1.462158203,-1.259155273,-1.054260254,-0.856231689,-0.656799316,-0.454803467,-0.237030029,-0.015197754,0.230163574,0.487884521,0.743621826,0.99508667,1.236755371,1.459197998,1.664855957,1.854797363,2.038238525,2.229766846,2.408111572,2.580047607,2.733428955,2.878570557,3.021392822,3.595428467,4.499237061,5.491333008,6.15814209,6.854125977,7.639129639,8.650817871,9.66519165,10.71270752,11.62182617,12.28585815,12.68569946,13.10800171,13.65441895,14.23547363,14.8067627,15.4336853,16.06741333,16.58209229,17.01098633,17.40524292,17.77627563,18.10025024
3,3,ARM07Tv,0.022399902,0.0546875,0.086700439,0.103912354,0.114105225,0.141662598,0.191955566,0.255981445,0.347961426,0.456787109,0.585021973,0.722839355,0.858337402,0,1.103759766,1.207427979,1.302154541,1.371765137,1.429534912,1.467285156,1.345550537,1.301177979,1.197967529,1.139251709,1.134979248,1.132781982,1.1065979,1.086761475,1.104888916,1.155181885,1.215057373,1.265869141,1.319122314,1.392303467,1.50189209,1.655517578,1.846466064,2.03817749,2.234222412,2.435455322,2.629089355,2.825561523,3.039672852,3.266387939,3.50668335,3.745758057,3.987915039,4.221588135,4.468017578,4.713623047,4.970733643,5.23034668,5.476715088,5.723083496,5.956634521,6.170501709,6.363433838,6.534606934,6.69128418,6.849029541,6.996582031,7.144714355,7.28237915,7.423095703,7.559539795,8.445129395,9.273010254,10.24987793,10.93707275,11.73336792,12.62905884,13.54385376,14.47341919,15.49240112,16.39459229,16.98068237,17.38565063,17.81506348,18.38314819,19.03430176,19.59033203,20.19302368,20.82650757,21.34014893,21.75140381,22.11639404,22.4473877,22.75698853
4,4,ARM09Tv,0.014160156,0.032592773,0.03793335,0.020935059,-0.008728027,-0.043762207,-0.085235596,-0.129516602,-0.162780762,-0.180786133,-0.19442749,-0.200042725,-0.200042725,0,-0.164031982,-0.129272461,-0.078765869,-0.011657715,0.058135986,0.119659424,-0.292602539,-0.198577881,-0.186462402,-0.210449219,-0.233428955,-0.256164551,-0.292633057,-0.344573975,-0.369476318,-0.370147705,-0.365570068,-0.373626709,-0.398529053,-0.435791016,-0.447021484,-0.431152344,-0.372039795,-0.272186279,-0.136535645,0.026367188,0.195556641,0.363006592,0.554412842,0.754180908,0.970611572,1.184509277,1.403869629,1.62097168,1.859069824,2.093444824,2.328765869,2.543609619,2.735656738,2.913085938,3.071533203,3.209838867,3.33480835,3.448303223,3.55645752,3.667816162,3.777618408,3.887359619,3.992797852,4.09552002,4.197296143,5.780456543,6.617401123,7.436309814,8.235076904,9.071533203,10.01672363,10.71322632,11.51745605,12.52844238,13.41000366,13.95281982,14.40628052,14.85836792,15.52191162,16.23788452,16.86813354,17.45117188,18.04382324,18.58969116,18.99316406,19.28237915,19.53884888,19.81787109
5,5,ARM06Tv,0.030670166,0.098388672,0.190063477,0.32623291,0.461791992,0.570922852,0.668762207,0.744842529,0.803253174,0.837463379,0.853668213,0.852203369,0.833251953,0,0.743377686,0.679412842,0.600311279,0.519470215,0.427856445,0.33380127,-0.559143066,-0.906280518,-1.16104126,-1.360870361,-1.467132568,-1.479095459,-1.398590088,-1.278015137,-1.17288208,-1.081207275,-0.98916626,-0.89239502,-0.801727295,-0.715911865,-0.62387085,-0.496643066,-0.313293457,-0.108276367,0.115661621,0.352111816,0.568695068,0.787506104,1.003631592,1.217346191,1.436004639,1.653411865,1.882263184,2.110107422,2.352508545,2.593322754,2.850158691,3.111755371,3.368835449,3.625823975,3.873962402,4.105407715,4.319702148,4.512969971,4.691833496,4.874053955,5.043640137,5.209960938,5.359161377,5.501586914,5.637969971,7.226165771,8.079467773,9.053649902,9.718322754,10.47909546,11.32235718,12.2593689,13.2076416,14.22979736,15.14413452,15.75848389,16.16665649,16.59698486,17.1612854,17.80633545,18.37472534,18.9838562,19.61923218,20.13290405,20.55099487,20.92053223,21.25778198,21.57211304
6,6,ARM18Tv,-0.031707764,-0.069519043,-0.097167969,-0.119537354,-0.138153076,-0.159423828,-0.189483643,-0.222198486,-0.266693115,-0.319732666,-0.379425049,-0.437988281,-0.488830566,0,-0.57611084,-0.620819092,-0.658447266,-0.700500488,-0.741516113,-0.782165527,-1.264404297,-1.448577881,-1.662811279,-1.908233643,-2.157897949,-2.368469238,-2.514923096,-2.611633301,-2.668151855,-2.682250977,-2.630004883,-2.522735596,-2.394897461,-2.254272461,-2.140228271,-2.048187256,-1.96295166,-1.877716064,-1.775421143,-1.648468018,-1.516448975,-1.375183105,-1.221954346,-1.073760986,-0.929504395,-0.792755127,-0.646697998,-0.492919922,-0.324707031,-0.162506104,-0.002532959,0.14956665,0.298400879,0.454589844,0.617431641,0.78225708,0.955078125,1.123962402,1.290802002,1.468780518,1.639465332,1.803192139,1.952941895,2.089141846,2.22744751,3.101043701,4.028747559,4.796661377,5.294494629,5.816711426,6.439758301,7.382141113,8.411376953,9.373779297,10.29888916,11.10717773,11.59841919,12.08572388,12.6895752,13.34686279,14.04046631,14.67373657,15.29351807,15.84640503,16.29693604,16.66113281,17.00366211,17.32537842
7,7,ARM17Tv,-0.027252197,-0.081970215,-0.146362305,-0.232086182,-0.309570313,-0.379547119,-0.444091797,-0.502502441,-0.559204102,-0.613220215,-0.673858643,-0.744995117,-0.827392578,0,-1.019012451,-1.129943848,-1.244445801,-1.355102539,-1.468231201,-1.576477051,-1.636962891,-1.952819824,-2.242279053,-2.51461792,-2.728302002,-2.892242432,-3.018127441,-3.123809814,-3.1902771,-3.212402344,-3.171173096,-3.089416504,-2.998199463,-2.909362793,-2.828521729,-2.731689453,-2.601287842,-2.46206665,-2.305206299,-2.129333496,-1.962005615,-1.784515381,-1.609100342,-1.442352295,-1.28338623,-1.135131836,-0.981231689,-0.811126709,-0.609832764,-0.398376465,-0.176757813,0.03704834,0.237518311,0.437103271,0.637329102,0.83416748,1.02822876,1.211486816,1.387390137,1.568969727,1.740264893,1.907287598,2.060516357,2.199584961,2.333068848,3.495910645,4.427154541,5.304046631,5.843109131,6.423187256,7.089294434,8.059783936,9.087493896,10.09231567,11.01339722,11.777771,12.22875977,12.68865967,13.27352905,13.90948486,14.5625,15.1920166,15.82156372,16.35992432,16.80596924,17.17797852,17.52703857,17.8527832
8,8,ARM16Tv,-0.027587891,-0.07321167,-0.136535645,-0.227355957,-0.330993652,-0.457702637,-0.60647583,-0.760040283,-0.933898926,-1.108917236,-1.296722412,-1.489593506,-1.678070068,0,-2.027191162,-2.197021484,-2.360168457,-2.50378418,-2.654815674,-2.799835205,-2.933807373,-3.395965576,-3.743774414,-3.987518311,-4.161254883,-4.284637451,-4.341918945,-4.367523193,-4.362487793,-4.346679688,-4.334442139,-4.309051514,-4.269500732,-4.206176758,-4.11050415,-3.988128662,-3.835174561,-3.662536621,-3.463806152,-3.247344971,-3.049194336,-2.852783203,-2.671508789,-2.494689941,-2.319763184,-2.142700195,-1.955718994,-1.765319824,-1.552581787,-1.325286865,-1.071960449,-0.818572998,-0.577056885,-0.343597412,-0.122406006,0.085449219,0.284912109,0.47442627,0.659393311,0.85043335,1.023468018,1.188049316,1.338195801,1.475982666,1.6065979,2.686523438,3.594268799,4.557128906,5.175567627,5.855773926,6.608520508,7.586242676,8.582550049,9.609344482,10.53253174,11.21148682,11.62768555,12.06259155,12.6262207,13.24926758,13.84710693,14.46884155,15.10366821,15.62417603,16.05621338,16.43487549,16.78497314,17.1076355
9,9,ARM15Tv,0.024139404,0.073577881,0.129486084,0.197906494,0.250366211,0.284881592,0.302612305,0.30670166,0.300567627,0.281829834,0.243652344,0.191741943,0.131652832,0,-0.009979248,-0.093200684,-0.188476563,-0.279724121,-0.38269043,-0.479034424,-0.437866211,-0.7684021,-1.062896729,-1.313262939,-1.466247559,-1.532073975,-1.536529541,-1.539123535,-1.573272705,-1.627563477,-1.677459717,-1.702148438,-1.686157227,-1.630828857,-1.529296875,-1.3800354,-1.192504883,-0.997070313,-0.787963867,-0.57598877,-0.388366699,-0.199615479,-0.01071167,0.183502197,0.384521484,0.584411621,0.792266846,1.002105713,1.235534668,1.4815979,1.747436523,2.012329102,2.260040283,2.499633789,2.727050781,2.9402771,3.139099121,3.32409668,3.500427246,3.680847168,3.846801758,4.006011963,4.147521973,4.277923584,4.399353027,3.493133545,4.389282227,5.308074951,5.926849365,6.627197266,7.393127441,8.31048584,9.261566162,10.26660156,11.20040894,11.85110474,12.29077148,12.73614502,13.31469727,13.9887085,14.60015869,15.21160889,15.84289551,16.36465454,16.79418945,17.15313721,17.47415161,17.79055786
10,10,ARM12Tv,-0.03515625,-0.122344971,-0.238250732,-0.399871826,-0.564117432,-0.725708008,-0.865600586,-0.969970703,-1.050537109,-1.101837158,-1.131835938,-1.137664795,-1.12310791,0,-1.037719727,-0.97277832,-0.908813477,-0.853729248,-0.801116943,-0.750366211,-0.459411621,-0.344573975,-0.317138672,-0.37991333,-0.490447998,-0.65322876,-0.852416992,-1.075683594,-1.296051025,-1.491027832,-1.633880615,-1.738128662,-1.796722412,-1.823638916,-1.827850342,-1.816955566,-1.788543701,-1.727111816,-1.630645752,-1.502319336,-1.358886719,-1.214477539,-1.049560547,-0.8800354,-0.692108154,-0.489196777,-0.263580322,-0.037719727,0.203033447,0.429016113,0.65423584,0.864257813,1.051483154,1.2237854,1.380889893,1.528137207,1.67098999,1.803894043,1.926605225,2.046691895,2.158996582,2.264923096,2.363342285,2.456878662,2.547363281,3.480926514,4.309875488,5.144378662,5.852539063,6.61907959,7.47833252,8.215026855,9.05645752,10.05905151,10.97155762,11.54388428,12.02810669,12.49237061,13.12030029,13.85888672,14.50234985,15.09152222,15.70043945,16.23364258,16.64959717,16.95767212,17.21887207,17.51712036
