OBJECTID_1,OBJECTID,PadID,wnes_9m,wnes_15m,wnes_21m,wnes_27m,wnes_33m,wnes_39m,wnes_45m,wnes_51m,wnes_57m,wnes_63m,wnes_69m,wnes_75m,wnes_81m,wnes_87m,wnes_93m,wnes_99m,wnes_105m,wnes_111m,wnes_117m,wnes_123m,wnes_130m,wnes_150m,wnes_170m,wnes_190m,wnes_210m,wnes_230m,wnes_250m,wnes_270m,wnes_290m,wnes_310m,wnes_330m,wnes_350m,wnes_370m,wnes_390m,wnes_410m,wnes_430m,wnes_450m,wnes_470m,wnes_530m,wnes_570m,wnes_610m,wnes_650m,wnes_690m,wnes_730m,wnes_770m,wnes_810m,wnes_850m,wnes_890m,wnes_930m,wnes_970m,wnes_1010m,wnes_1110m,wnes_1290m,wnes_1470m,wnes_1650m,wnes_1830m,wnes_2010m,wnes_2190m,wnes_2370m,wnes_2550m,wnes_2730m,wnes_2910m,wnes_3090m,wnes_3270m,wnes_3450m,wnes_3630m,wnes_3810m,wnes_3990m,wnes_4170m,wnes_4350m,wnes_4530m,wnes_4710m,wnes_4890m,wnes_5070m
1,1,ARM04Tv,-0.493521392,-0.493074059,-0.489254653,-0.493361294,-0.504579067,-0.518670261,-0.535144925,-0.553246021,-0.572511792,-0.59221518,-0.612132072,-0.63210094,-0.651696682,-0.670559406,-0.688304007,-0.704519153,-0.719161808,-0.732281804,-0.7439394,-0.754119933,-0.773863614,-0.787061632,-0.793720663,-0.804412484,-0.825865746,-0.855311632,-0.884492695,-0.910761952,-0.934546947,-0.952911854,-0.966872871,-0.977622211,-0.984881938,-0.989503205,-0.992387354,-0.994305015,-0.995818794,-0.997105956,-0.999586165,-0.999995828,-0.999401808,-0.997584462,-0.994325101,-0.989576459,-0.983940601,-0.979076564,-0.976038098,-0.974888742,-0.975257754,-0.976384461,-0.977628171,-0.978817999,-0.97223109,-0.9818362,-0.988967657,-0.989366651,-0.980750561,-0.967479229,-0.960476816,-0.963209569,-0.971835613,-0.98666054,-0.997879803,-0.999918759,-0.997869313,-0.990983248,-0.971995711,-0.932086647,-0.876280546,-0.817365944,-0.782798171,-0.782227516,-0.809792161,-0.856098413
2,2,ARM05Tv,-0.820400834,-0.820453167,-0.829707503,-0.848010242,-0.867570817,-0.886430383,-0.901723206,-0.912870765,-0.920980871,-0.926984429,-0.93198055,-0.936475217,-0.94054997,-0.94433105,-0.947784722,-0.950855732,-0.953579009,-0.955909491,-0.957831144,-0.959330857,-0.896093369,-0.91770488,-0.944663763,-0.965269506,-0.979331672,-0.988498688,-0.994248509,-0.997409403,-0.999107957,-0.999846935,-0.999998629,-0.999871314,-0.999720335,-0.99956584,-0.999516726,-0.999484301,-0.999434531,-0.999248743,-0.998807609,-0.998272419,-0.997534096,-0.996557772,-0.995330691,-0.99395287,-0.992382705,-0.990865588,-0.989843905,-0.988855541,-0.987845063,-0.987097144,-0.986654401,-0.990127325,-0.995231748,-0.997979522,-0.998148203,-0.994656622,-0.983540714,-0.971607804,-0.962385714,-0.959495962,-0.969934285,-0.987471044,-0.997901142,-0.999877274,-0.996386588,-0.986522675,-0.96173948,-0.918567002,-0.859882295,-0.80017072,-0.761211336,-0.755807102,-0.787999153,-0.842255712
3,3,ARM07Tv,-0.73341006,-0.746517539,-0.74906826,-0.750158072,-0.754957318,-0.764686882,-0.777907848,-0.792040884,-0.806446791,-0.81888485,-0.828750372,-0.83689183,-0.843625665,-0.848746002,-0.85239321,-0.854840636,-0.856399417,-0.857192755,-0.857236564,-0.856329203,-0.801760316,-0.799213648,-0.79379493,-0.792463958,-0.802912533,-0.822287679,-0.845457852,-0.875277996,-0.902882695,-0.924260616,-0.941406965,-0.953825176,-0.963132083,-0.969277799,-0.97318399,-0.97564137,-0.97730124,-0.978750169,-0.983639896,-0.98670882,-0.989643276,-0.992794573,-0.995722175,-0.99797678,-0.999182522,-0.999585927,-0.999678791,-0.999716043,-0.999802709,-0.999933243,-0.999999344,-0.998691022,-0.991805255,-0.987650275,-0.992781281,-0.999863565,-0.992974281,-0.978668988,-0.967688799,-0.957542181,-0.963666439,-0.983697057,-0.995758414,-0.999360979,-0.998901904,-0.98831588,-0.967531562,-0.93616271,-0.898445129,-0.855495393,-0.818527699,-0.808472931,-0.825138569,-0.871488869
4,4,ARM09Tv,-0.305144548,-0.330087841,-0.362028122,-0.402683467,-0.450054914,-0.502592385,-0.556819618,-0.60943538,-0.659431577,-0.70637387,-0.749641538,-0.788518846,-0.822782576,-0.852355719,-0.877415001,-0.897754848,-0.916567624,-0.938057899,-0.953626275,-0.96402514,-0.977172911,-0.987528086,-0.987562954,-0.984842062,-0.981594026,-0.977047145,-0.96927917,-0.957810521,-0.944043159,-0.930311143,-0.919970036,-0.915011942,-0.915087461,-0.91813767,-0.923159659,-0.929620683,-0.936883807,-0.944618881,-0.967554927,-0.979752302,-0.987950087,-0.992366493,-0.99440974,-0.995544612,-0.996573269,-0.997865677,-0.999205828,-0.999961495,-0.999706626,-0.998337746,-0.995952725,-0.981991768,-0.966625571,-0.957800984,-0.968256593,-0.991383016,-0.999984562,-0.989006996,-0.968214869,-0.960658848,-0.962714791,-0.971987605,-0.985676587,-0.995972633,-0.999998331,-0.995556653,-0.983749986,-0.969504595,-0.950341761,-0.927638352,-0.905548573,-0.888497651,-0.890650988,-0.910975695
5,5,ARM06Tv,-0.32521224,-0.32491982,-0.331104666,-0.340928376,-0.354377449,-0.371019363,-0.390013844,-0.412644386,-0.435604304,-0.454853714,-0.470492661,-0.482839853,-0.492539644,-0.501098335,-0.510247111,-0.521005988,-0.533202589,-0.546689332,-0.561260581,-0.576657951,-0.623774529,-0.689636648,-0.759478986,-0.824077904,-0.875730813,-0.913752317,-0.939591348,-0.955905259,-0.965990186,-0.972648978,-0.977341473,-0.980572522,-0.984146416,-0.986772358,-0.98906219,-0.990714133,-0.991993248,-0.992684603,-0.993108213,-0.992786348,-0.99296087,-0.9940418,-0.995631933,-0.997152567,-0.998045325,-0.998455465,-0.998614371,-0.998449743,-0.997917652,-0.997146189,-0.996629059,-0.999709189,-0.998025537,-0.995269716,-0.997767389,-0.999700904,-0.989888906,-0.977064073,-0.965950489,-0.956169784,-0.964205086,-0.984401405,-0.996275723,-0.999602675,-0.998791754,-0.990055859,-0.969731271,-0.935637593,-0.892343163,-0.845182717,-0.809270322,-0.801254869,-0.818815768,-0.864083648
6,6,ARM18Tv,-0.987242103,-0.989076674,-0.992107689,-0.995417178,-0.99830091,-0.999885082,-0.999484181,-0.996516466,-0.990358472,-0.980580807,-0.967211843,-0.950913787,-0.932710886,-0.913656473,-0.894861937,-0.877286732,-0.861659527,-0.848496497,-0.838058829,-0.830307662,-0.836862624,-0.832875133,-0.832367957,-0.833614409,-0.835256934,-0.839269102,-0.84216404,-0.846219778,-0.852328658,-0.861871421,-0.874642313,-0.888543308,-0.902039707,-0.914673805,-0.926323175,-0.936299086,-0.94498688,-0.952813506,-0.973873019,-0.986912787,-0.996567905,-0.999986351,-0.997908831,-0.992435575,-0.986326337,-0.981931269,-0.979951084,-0.979733825,-0.980265617,-0.981115699,-0.981131434,-0.977177858,-0.966875732,-0.976857901,-0.986053348,-0.987182081,-0.983126521,-0.972486794,-0.963712633,-0.966341496,-0.972898781,-0.984557569,-0.996674061,-0.999942303,-0.999550223,-0.996396661,-0.984543383,-0.955128729,-0.910140276,-0.862483561,-0.836278319,-0.834676802,-0.848610818,-0.879361391
7,7,ARM17Tv,-0.437972069,-0.43178764,-0.428002477,-0.430282354,-0.436947703,-0.446104497,-0.461224347,-0.482414275,-0.508352458,-0.537109017,-0.567454875,-0.598892272,-0.629869342,-0.658442378,-0.683975816,-0.706593096,-0.726731598,-0.744788945,-0.761056244,-0.775671542,-0.785934448,-0.818846285,-0.84580195,-0.871647,-0.894891858,-0.915361643,-0.933852971,-0.950110734,-0.963371396,-0.972146869,-0.97786814,-0.981889725,-0.984652638,-0.986765027,-0.988547921,-0.989949405,-0.991041124,-0.991968989,-0.995286763,-0.997804403,-0.999711037,-0.999678016,-0.997353077,-0.99398005,-0.990975499,-0.988672972,-0.986877799,-0.985636294,-0.985058308,-0.984852195,-0.984644651,-0.980745614,-0.975975335,-0.985835254,-0.990938187,-0.9901582,-0.98306179,-0.970927954,-0.961188614,-0.962779105,-0.970597446,-0.984970808,-0.997058213,-0.99999553,-0.999142349,-0.994734704,-0.979855478,-0.945369005,-0.895242929,-0.841883183,-0.812684953,-0.811296582,-0.830503166,-0.868081272
8,8,ARM16Tv,-0.989947855,-0.999992728,-0.996028125,-0.995852232,-0.996553838,-0.996380091,-0.995577216,-0.994357109,-0.99293685,-0.991615415,-0.990359843,-0.989450753,-0.989188313,-0.989832997,-0.99138689,-0.993555605,-0.995859623,-0.997820139,-0.999149919,-0.99982971,-0.993472636,-0.992171943,-0.994497657,-0.997132301,-0.99894768,-0.999768436,-0.999981761,-0.999998868,-0.999984264,-0.999979019,-0.999946833,-0.999923289,-0.999893486,-0.999884844,-0.999897301,-0.9999246,-0.999952376,-0.999985993,-0.999995112,-0.999912381,-0.999467671,-0.998384893,-0.997061849,-0.996048808,-0.99527669,-0.994683862,-0.993811965,-0.992693841,-0.991670847,-0.990601301,-0.989366293,-0.990183949,-0.99595046,-0.999032199,-0.999043822,-0.995631754,-0.984901428,-0.97350651,-0.961907029,-0.957908869,-0.967419624,-0.985484779,-0.997100651,-0.999989748,-0.998424172,-0.991920412,-0.972263575,-0.934684038,-0.88223809,-0.827509224,-0.79379636,-0.789057672,-0.812473476,-0.856358528
9,9,ARM15Tv,-0.560525894,-0.576942503,-0.594540358,-0.614099205,-0.633239746,-0.649977803,-0.661784589,-0.669193566,-0.673644245,-0.67608434,-0.677131891,-0.677259982,-0.676900625,-0.67685169,-0.677871048,-0.679922521,-0.682662547,-0.686076939,-0.690330744,-0.695536554,-0.690491021,-0.724127591,-0.77213943,-0.825842917,-0.873987913,-0.91095078,-0.93631351,-0.952711642,-0.963496983,-0.972027183,-0.977512062,-0.981931448,-0.985833108,-0.988726437,-0.990684927,-0.992074788,-0.993244052,-0.994226873,-0.99584502,-0.996200025,-0.9963907,-0.996595144,-0.997052073,-0.997853696,-0.998449981,-0.998683393,-0.998626351,-0.998319328,-0.997731924,-0.996897697,-0.99624455,-0.995674253,-0.999989927,-0.998814225,-0.999707937,-0.998356819,-0.988563418,-0.977225304,-0.963493824,-0.955263793,-0.963792562,-0.982795477,-0.995524764,-0.999441206,-0.999618828,-0.995105326,-0.979316175,-0.947773457,-0.904216588,-0.858125508,-0.8284356,-0.821494699,-0.833765805,-0.86962235
10,10,ARM12Tv,-0.916827083,-0.918581605,-0.924898922,-0.932498097,-0.941277683,-0.950352788,-0.95897001,-0.966644585,-0.973425031,-0.979415059,-0.984811544,-0.989625037,-0.993730724,-0.996931076,-0.999052465,-0.999968112,-0.999621391,-0.998063326,-0.995425105,-0.991876483,-0.987007499,-0.967855453,-0.952888429,-0.953728735,-0.952784479,-0.947630167,-0.941439211,-0.935640454,-0.931062341,-0.927167177,-0.924029589,-0.922092795,-0.922325253,-0.925282359,-0.930440307,-0.93705219,-0.944422781,-0.952238023,-0.973518074,-0.983877897,-0.99069339,-0.994916618,-0.997224152,-0.998300254,-0.998770416,-0.99907428,-0.999459505,-0.999847829,-0.999997556,-0.999725878,-0.998921871,-0.995705426,-0.984666467,-0.97290206,-0.983338833,-0.998531997,-0.997529209,-0.983912706,-0.966892123,-0.956152976,-0.959772289,-0.974679172,-0.988870561,-0.996433139,-0.999872625,-0.997191668,-0.986532271,-0.968033731,-0.942150831,-0.915128648,-0.891090751,-0.875906527,-0.87473321,-0.897536278
