SiteID,Treatment,date,rainday (in),flowday (in),TSS lbs/ac
ARM,control,4/24/2018,0,0, 
ARM,control,4/25/2018,0,0, 
ARM,control,4/26/2018,0,0, 
ARM,control,4/27/2018,0,0, 
ARM,control,4/28/2018,0,0, 
ARM,control,4/29/2018,0,0, 
ARM,control,4/30/2018,0,0, 
ARM,control,5/1/2018,0.4330711,0, 
ARM,control,5/2/2018,0.8267721,0.000250189, 
ARM,control,5/3/2018,0.5118113,0.000348419, 
ARM,control,5/4/2018,0,0, 
ARM,control,5/5/2018,0,0, 
ARM,control,5/6/2018,0,0, 
ARM,control,5/7/2018,0,0, 
ARM,control,5/8/2018,0,0, 
ARM,control,5/9/2018,0,0, 
ARM,control,5/10/2018,0,0, 
ARM,control,5/11/2018,0.1181103,0, 
ARM,control,5/12/2018,0,0, 
ARM,control,5/13/2018,0,0, 
ARM,control,5/14/2018,0.1181103,0, 
ARM,control,5/15/2018,0,0, 
ARM,control,5/16/2018,0,0, 
ARM,control,5/17/2018,0,0, 
ARM,control,5/18/2018,0,0, 
ARM,control,5/19/2018,0,0, 
ARM,control,5/20/2018,0,0, 
ARM,control,5/21/2018,0,0, 
ARM,control,5/22/2018,0,0, 
ARM,control,5/23/2018,0,0, 
ARM,control,5/24/2018,0,0, 
ARM,control,5/25/2018,0,0, 
ARM,control,5/26/2018,0,0, 
ARM,control,5/27/2018,0,0, 
ARM,control,5/28/2018,0,0, 
ARM,control,5/29/2018,0.393701,0, 
ARM,control,5/30/2018,0,0, 
ARM,control,5/31/2018,0,0, 
ARM,control,6/1/2018,0,0, 
ARM,control,6/2/2018,2.2047256,0.000527576, 
ARM,control,6/3/2018,0,0, 
ARM,control,6/4/2018,0,0, 
ARM,control,6/5/2018,0,0, 
ARM,control,6/6/2018,0,0, 
ARM,control,6/7/2018,0,0, 
ARM,control,6/8/2018,0,0, 
ARM,control,6/9/2018,0.0393701,0, 
ARM,control,6/10/2018,0.4724412,0.010934026, 
ARM,control,6/11/2018,1.6141741,0.017345842, 
ARM,control,6/12/2018,0,0.002516728, 
ARM,control,6/13/2018,0,0, 
ARM,control,6/14/2018,0,0, 
ARM,control,6/15/2018,0,0, 
ARM,control,6/16/2018,0,0, 
ARM,control,6/17/2018,0,0, 
ARM,control,6/18/2018,0.2362206,0, 
ARM,control,6/19/2018,1.2598432,0.004800018, 
ARM,control,6/20/2018,0.0787402,0, 
ARM,control,6/21/2018,0.1181103,4.98E-05, 
ARM,control,6/22/2018,0,0.000231948, 
ARM,control,6/23/2018,0,0, 
ARM,control,6/24/2018,0.4724412,0, 
ARM,control,6/25/2018,0.5511814,0, 
ARM,control,6/26/2018,0,0, 
ARM,control,6/27/2018,0,0, 
ARM,control,6/28/2018,0.1181103,0, 
ARM,control,6/29/2018,0,0, 
ARM,control,6/30/2018,0.4330711,0, 
ARM,control,7/1/2018,0.5511814,0, 
ARM,control,7/2/2018,0,0, 
ARM,control,7/3/2018,0,0, 
ARM,control,7/4/2018,0,0, 
ARM,control,7/5/2018,0,0, 
ARM,control,7/6/2018,0,0, 
ARM,control,7/7/2018,0,0, 
ARM,control,7/8/2018,0,0, 
ARM,control,7/9/2018,0,0, 
ARM,control,7/10/2018,0,0, 
ARM,control,7/11/2018,0,0, 
ARM,control,7/12/2018,0,0, 
ARM,control,7/13/2018,0.1574804,0, 
ARM,control,7/14/2018,0,0, 
ARM,control,7/15/2018,0,0, 
ARM,control,7/16/2018,0,0, 
ARM,control,7/17/2018,0,0, 
ARM,control,7/18/2018,0,0, 
ARM,control,7/19/2018,0.0393701,0, 
ARM,control,7/20/2018,0,0, 
ARM,control,7/21/2018,0,0, 
ARM,control,7/22/2018,0,0, 
ARM,control,7/23/2018,0,0, 
ARM,control,7/24/2018,0,0, 
ARM,control,7/25/2018,0,0, 
ARM,control,7/26/2018,0,0, 
ARM,control,7/27/2018,0,0, 
ARM,control,7/28/2018,0.1574804,0, 
ARM,control,7/29/2018,0,0, 
ARM,control,7/30/2018,0,0, 
ARM,control,7/31/2018,0,0, 
ARM,control,8/1/2018,0,0, 
ARM,control,8/2/2018,0,0, 
ARM,control,8/3/2018,0,0, 
ARM,control,8/4/2018,0,0, 
ARM,control,8/5/2018,0,0, 
ARM,control,8/6/2018,0,0, 
ARM,control,8/7/2018,0.1181103,0, 
ARM,control,8/8/2018,0,0, 
ARM,control,8/9/2018,0,0, 
ARM,control,8/10/2018,0,0, 
ARM,control,8/11/2018,0,0, 
ARM,control,8/12/2018,0,0, 
ARM,control,8/13/2018,0,0, 
ARM,control,8/14/2018,1.5354339,0, 
ARM,control,8/15/2018,0,0, 
ARM,control,8/16/2018,0.393701,0, 
ARM,control,8/17/2018,0,0, 
ARM,control,8/18/2018,0,0, 
ARM,control,8/19/2018,2.4409462,0, 
ARM,control,8/20/2018,3.4645688,0, 
ARM,control,8/21/2018,0,0, 
ARM,control,8/22/2018,0,0, 
ARM,control,8/23/2018,0,0, 
ARM,control,8/24/2018,0.0393701,0, 
ARM,control,8/25/2018,0,0, 
ARM,control,8/26/2018,0.4724412,0, 
ARM,control,8/27/2018,0.0787402,0, 
ARM,control,8/28/2018,0.393701,0, 
ARM,control,8/29/2018,0,0, 
ARM,control,8/30/2018,0,0, 
ARM,control,8/31/2018,0.2755907,0, 
ARM,control,9/1/2018,1.6141741,0, 
ARM,control,9/2/2018,0.4724412,0.008043209,0.076082364
ARM,control,9/3/2018,0.3543309,0.002480496, 
ARM,control,9/4/2018,0.2362206,0.039366464,0.329213186
ARM,control,9/5/2018,0.6299216,0.057213791,0.174690171
ARM,control,9/6/2018,0,0, 
ARM,control,9/7/2018,0.393701,0.001443604, 
ARM,control,9/8/2018,0,0, 
ARM,control,9/9/2018,0,0, 
ARM,control,9/10/2018,0,0, 
ARM,control,9/11/2018,0,0, 
ARM,control,9/12/2018,0,0, 
ARM,control,9/13/2018,0,0, 
ARM,control,9/14/2018,0,0, 
ARM,control,9/15/2018,0,0, 
ARM,control,9/16/2018,0,0, 
ARM,control,9/17/2018,0,0, 
ARM,control,9/18/2018,0.0393701,0, 
ARM,control,9/19/2018,0,0, 
ARM,control,9/20/2018,0.4724412,0, 
ARM,control,9/21/2018,0.0787402,0, 
ARM,control,9/22/2018,0,0, 
ARM,control,9/23/2018,0,0, 
ARM,control,9/24/2018,0,0, 
ARM,control,9/25/2018,0.4724412,0, 
ARM,control,9/26/2018,0,0, 
ARM,control,9/27/2018,0,0, 
ARM,control,9/28/2018,0,0, 
ARM,control,9/29/2018,0,0, 
ARM,control,9/30/2018,0.0787402,0, 
ARM,control,10/1/2018,0.0787402,0, 
ARM,control,10/2/2018,0,0, 
ARM,control,10/3/2018,0,0, 
ARM,control,10/4/2018,0,0, 
ARM,control,10/5/2018,0.0787402,0, 
ARM,control,10/6/2018,0,0, 
ARM,control,10/7/2018,0.3543309,0, 
ARM,control,10/8/2018,0.8661422,0.072651941,0.160933521
ARM,control,10/9/2018,0.1574804,0.029904997,4.14E-05
ARM,control,10/10/2018,0,0, 
ARM,strips,4/24/2018,0,0, 
ARM,strips,4/25/2018,0,0, 
ARM,strips,4/26/2018,0,0, 
ARM,strips,4/27/2018,0,0, 
ARM,strips,4/28/2018,0,0, 
ARM,strips,4/29/2018,0,0, 
ARM,strips,4/30/2018,0,0, 
ARM,strips,5/1/2018,0.4330711,0, 
ARM,strips,5/2/2018,0.8267721,0, 
ARM,strips,5/3/2018,0.5118113,0.001320044, 
ARM,strips,5/4/2018,0,0, 
ARM,strips,5/5/2018,0,0, 
ARM,strips,5/6/2018,0,0, 
ARM,strips,5/7/2018,0,0, 
ARM,strips,5/8/2018,0,0, 
ARM,strips,5/9/2018,0,0, 
ARM,strips,5/10/2018,0,0, 
ARM,strips,5/11/2018,0.1181103,0, 
ARM,strips,5/12/2018,0,0, 
ARM,strips,5/13/2018,0,0, 
ARM,strips,5/14/2018,0.1181103,2.75E-06, 
ARM,strips,5/15/2018,0,0, 
ARM,strips,5/16/2018,0,0, 
ARM,strips,5/17/2018,0,0, 
ARM,strips,5/18/2018,0,0, 
ARM,strips,5/19/2018,0,0, 
ARM,strips,5/20/2018,0,0, 
ARM,strips,5/21/2018,0,0, 
ARM,strips,5/22/2018,0,0, 
ARM,strips,5/23/2018,0,0, 
ARM,strips,5/24/2018,0,0, 
ARM,strips,5/25/2018,0,0, 
ARM,strips,5/26/2018,0,0, 
ARM,strips,5/27/2018,0,0, 
ARM,strips,5/28/2018,0,0, 
ARM,strips,5/29/2018,0.393701,0, 
ARM,strips,5/30/2018,0,0.000419481, 
ARM,strips,5/31/2018,0,0, 
ARM,strips,6/1/2018,0,0, 
ARM,strips,6/2/2018,2.2047256,0.013348196, 
ARM,strips,6/3/2018,0,0.000267796, 
ARM,strips,6/4/2018,0,0, 
ARM,strips,6/5/2018,0,0, 
ARM,strips,6/6/2018,0,0, 
ARM,strips,6/7/2018,0,0, 
