station,station_name,day,doy,precip,precipmm,precip_estimated,Year,network
IA4228,JEFFERSON,2016-01-01,1,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-01-02,2,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-01-03,3,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-01-04,4,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-01-05,5,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-01-06,6,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-01-07,7,0.06,1.5,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-01-08,8,0.27,6.9,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-01-09,9,0.1,2.5,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-01-10,10,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-01-11,11,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-01-12,12,0.0001,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-01-13,13,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-01-14,14,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-01-15,15,0.0001,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-01-16,16,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-01-17,17,0.0001,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-01-18,18,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-01-19,19,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-01-20,20,0.02,0.5,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-01-21,21,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-01-22,22,0.01,0.3,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-01-23,23,0.0001,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-01-24,24,0.0001,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-01-25,25,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-01-26,26,0.07,1.8,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-01-27,27,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-01-28,28,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-01-29,29,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-01-30,30,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-01-31,31,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-02-01,32,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-02-02,33,0.07,1.8,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-02-03,34,0.77,19.6,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-02-04,35,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-02-05,36,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-02-06,37,0.02,0.5,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-02-07,38,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-02-08,39,0.04,1.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-02-09,40,0.02,0.5,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-02-10,41,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-02-11,42,0.02,0.5,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-02-12,43,0.05,1.3,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-02-13,44,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-02-14,45,0.1,2.5,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-02-15,46,0.0001,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-02-16,47,0.1,2.5,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-02-17,48,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-02-18,49,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-02-19,50,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-02-20,51,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-02-21,52,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-02-22,53,0.0001,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-02-23,54,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-02-24,55,0.0001,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-02-25,56,0.0,0.0,True,2016,NWS_COOP
